Title,Date,Text,Text_diff_new,Text_diff_old
0_Crt,08.04.2020.,['Članak 1.'],,
1_Crt,08.04.2020.,"['(1) Ovim se Zakonom utvrđuju temeljna načela međusobnih odnosa, ponašanje sudionika i drugih subjekata u prometu na cesti, osnovni uvjeti kojima moraju udovoljavati ceste glede sigurnosti prometa, pravila prometa na cestama, sustav prometnih znakova i znakova koje daju ovlaštene osobe, dužnosti u slučaju prometne nesreće, osposobljavanje kandidata za vozače, polaganje vozačkog ispita i uvjeti za stjecanje prava na upravljanje vozilima, vuča vozila, uređaji i oprema koje moraju imati vozila, dimenzije, ukupna masa i osovinsko opterećenje vozila te uvjeti kojima moraju udovoljavati vozila u prometu na cestama.', '(2) Prometom na cesti, prema ovom Zakonu, podrazumijeva se promet vozila, pješaka i drugih sudionika u prometu na javnim cestama i nerazvrstanim cestama koje se koriste za javni promet.']",,
2_Crt,08.04.2020.,"['Članak 1.a (NN', '80/13', '92/14', '64/15', '108/17', '70/19']",,
3_Crt,08.04.2020.,['Članak 1.a'],,
4_Crt,08.04.2020.,['(1) Ovim Zakonom u hrvatsko zakonodavstvo preuzimaju se sljedeći akti Europske unije:'],,
5_Crt,08.04.2020.,"['1. Direktiva Vijeća 91/671/EEZ od 16. prosinca 1991. o usklađivanju zakonodavstva država članica koji se odnose na obaveznu uporabu sigurnosnih pojaseva u vozilima lakšim od 3,5 tona (SL L 373, 31. 12. 1991.), kako je izmijenjena Provedbenom direktivom Komisije 2014/37/EU od 27. veljače 2014. o izmjeni Direktive Vijeća 91/671/EEZ u pogledu obavezne uporabe sigurnosnih pojaseva i sustava sigurnosnog vezivanja djece u vozilima (SL L 59, 28. 2. 2014.),']",,
6_Crt,08.04.2020.,"['2. Direktiva 2000/53/EZ Europskog parlamenta i Vijeća od 18. rujna 2000. o otpadnim vozilima (SL L 269, 21. 10. 2000.),']",,
7_Crt,08.04.2020.,"['3. Direktiva 2002/85/EZ Europskog parlamenta i Vijeća od 5. studenog 2002. o izmjeni Direktive Vijeća 92/6/EEZ o ugradnji i uporabi uređaja za ograničavanje brzine za određene kategorije motornih vozila u Zajednici (SL L 327, 4. 12. 2002.),']",,
8_Crt,08.04.2020.,"['4. Direktiva 2003/59/EZ Europskog parlamenta i Vijeća od 15. srpnja 2003. o početnim kvalifikacijama i periodičnom osposobljavanju vozača određenih cestovnih vozila za prijevoz robe i putnika, o izmjeni Uredbe Vijeća (EEZ) br. 3820/85 i Direktive Vijeća 91/439/EEZ te stavljanju izvan snage Direktive Vijeća 76/14/EEZ (SL L 226, 10. 9. 2003.)']",,
9_Crt,08.04.2020.,"['5. Direktiva 2006/126/EZ Europskog parlamenta i Vijeća od 20. prosinca 2006. o vozačkim dozvolama (Preinaka) (SL L 403, 30. 12. 2006.), kako je izmijenjena Direktivom (EU) 2018/645 Europskog parlamenta i Vijeća od 18. travnja 2018. o izmjeni Direktive 2003/59/EZ o početnim kvalifikacijama i periodičnom osposobljavanju vozača određenih cestovnih vozila za prijevoz robe ili putnika i Direktive 2006/126/EZ o vozačkim dozvolama (Tekst značajan za EGP) (SL L 112, 2. 5. 2018.),']",,
10_Crt,08.04.2020.,"['6. Direktiva 2008/96/EZ Europskog parlamenta i Vijeća od 19. studenog 2008. godine o sigurnosti cestovne infrastrukture (SL L 319, od 29. 11. 2008.),']",,
11_Crt,08.04.2020.,"['7. Direktiva Komisije 2009/113EZ od 25. kolovoza 2009. o izmjeni Direktive 2006/126/EZ Europskog parlamenta i Vijeća o vozačkim dozvolama (SL L 223, 26. 8. 2009.),']",,
12_Crt,08.04.2020.,"['8. Direktiva (EU) 2015/413 i Europskog parlamenta i Vijeća od 11. ožujka 2015. o olakšavanju prekogranične razmjene informacija o prometnim prekršajima protiv sigurnosti prometa na cestama (SL L 68/9, 13. 3. 2015.),']",,
