Title,Date,Text,Text_diff_new,Text_diff_old
f6259037,27.09.2018,['209'],,
f6259038,27.09.2018,['VYHLÁŠKA'],,
f6259039,27.09.2018,['ze dne 20. září 2018'],,
f6259040,27.09.2018,"['o hmotnostech, rozměrech a spojitelnosti vozidel']",,
f6259041,27.09.2018,"['Ministerstvo dopravy stanoví podle § 137 odst. 2 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů (zákon o silničním provozu), ve znění zákona č. 478/2001 Sb., zákona č. 53/2004 Sb., zákona č. 411/2005 Sb., zákona č. 226/2006 Sb., zákona č. 274/2008 Sb., zákona č. 133/2011 Sb., zákona č. 297/2011 Sb., zákona č. 230/2014 Sb., zákona č. 249/2014 Sb., zákona č. 48/2016 Sb., zákona č. 199/2017 Sb. a zákona č. 193/2018 Sb., (dále jen „zákon“) k provedení § 43a odst. 6 zákona:']",,
f6259043,27.09.2018,['§ 1'],,
f6259045,27.09.2018,"['Tato vyhláška zapracovává příslušné předpisy Evropské unie', 'a upravuje']",,
f6259046,27.09.2018,"['a)', 'hodnoty hmotností a rozměrů vozidel a jízdních souprav, poměrů hmotností vozidel v jízdní soupravě a rozložení hmotnosti na nápravy, skupiny náprav, kola a skupiny kol, jejichž nedodržení ohrožuje bezpečnost provozu na pozemních komunikacích nebo stav pozemní komunikace,']",,
f6259047,27.09.2018,"['b)', 'podmínky spojitelnosti vozidel v jízdní soupravu, jejichž nedodržení ohrožuje bezpečnost provozu na pozemních komunikacích,']",,
f6259048,27.09.2018,"['c)', 'podmínky použití sklopného nebo odnímatelného zařízení pro snížení aerodynamického odporu, jejichž nedodržení ohrožuje bezpečnost provozu na pozemních komunikacích (dále jen „aerodynamické zařízení“), a']",,
f6259049,27.09.2018,"['d)', 'rozsah údajů uváděných v dokladu o rozměrech vozidla.']",,
f6259050,27.09.2018,['§ 2'],,
f6259052,27.09.2018,['Pro účely této vyhlášky se rozumí'],,
f6259053,27.09.2018,"['a)', 'dvojnápravou motorového nebo přípojného vozidla dvě za sebou umístěné nápravy, jejichž středy jsou od sebe vzdáleny méně než 1,8 m,']",,
f6259054,27.09.2018,"['b)', 'trojnápravou motorového vozidla tři za sebou umístěné nápravy, jejichž součet dílčích rozvorů činí nejvýše 2,8 m,']",,
f6259055,27.09.2018,"['c)', 'trojnápravou přípojného vozidla tři za sebou umístěné nápravy, jejichž součet dílčích rozvorů činí nejvýše 3,6 m,']",,
f6259056,27.09.2018,"['d)', 'autobusem vozidlo s jedním nebo dvěma podlažími a více než devíti sedadly včetně sedadla řidiče, konstruované a vybavené pro přepravu cestujících a jejich zavazadel,']",,
f6259057,27.09.2018,"['e)', 'kloubovým autobusem autobus skládající se ze dvou nebo více pevných oddělení pro cestující spojených kloubovým úsekem, umožňujícím volný pohyb cestujících mezi těmito odděleními a jejichž spojení nebo rozpojení je proveditelné pouze na specializovaném pracovišti,']",,
f6259058,27.09.2018,"['f)', 'alternativním palivem paliva nebo zdroje energie, které slouží alespoň zčásti jako náhrada zdrojů fosilní ropy, a to']",,
f6259059,27.09.2018,"['1.', 'elektřina,']",,
f6259060,27.09.2018,"['2.', 'vodík,']",,
f6259061,27.09.2018,"['3.', 'zemní plyn, včetně biomethanu, v plynné formě (stlačený zemní plyn - CNG) a ve zkapalněné formě (zkapalněný zemní plyn - LNG),']",,
f6259062,27.09.2018,"['4.', 'zkapalněný ropný plyn (LPG) a']",,
f6259063,27.09.2018,"['5.', 'mechanická energie ze zásobníku/zdroje ve vozidle, včetně odpadního tepla, a']",,
f6259064,27.09.2018,"['g)', 'operací intermodální přepravy operace kombinované přepravy', ', která se používá k přepravě jednoho nebo více kontejnerů nebo výměnných nástaveb o maximální celkové délce až 13,716 m, nebo přepravní operace, která se používá k přepravě jednoho nebo více kontejnerů nebo výměnných nástaveb o maximální celkové délce až 13,716 m, využívající lodní dopravy, pokud je délka počátečního nebo závěrečného úseku po pozemní komunikaci na území Evropské unie nejvýše 150 km; tato vzdálenost může být navýšena u']",,
f6259065,27.09.2018,"['1.', 'dvounápravového tažného vozidla s třínápravovým návěsem o celkové hmotnosti nejvýše 40,00 t,']",,
f6259066,27.09.2018,"['2.', 'třínápravového tažného vozidla s dvounápravovým nebo třínápravovým návěsem o celkové hmotnosti nejvýše 40,00 t,']",,
f6259067,27.09.2018,"['3.', 'dvounápravového tažného vozidla s třínápravovým návěsem přepravujícím v rámci operací intermodální přepravy jeden nebo více kontejnerů nebo výměnných nástaveb o maximální celkové délce až 13,716 m o celkové hmotnosti nejvýše 42,00 t a']",,
