Title,Date,Text,Text_diff_new,Text_diff_old
"0_Bekendtgørelse om køretøjers største bredde, længde, højde, vægt og akseltryk",19-12-2020,"['Bekendtgørelse om køretøjers største bredde, længde, højde, vægt og akseltryk', '1)']",,
"1_Bekendtgørelse om køretøjers største bredde, længde, højde, vægt og akseltryk",19-12-2020,"['I medfør af § 51, stk. 8, § 84, stk. 1, § 85, stk. 1, og § 118, stk. 8, 1. pkt., § 118, stk. 9, i færdselsloven, jf. lovbekendtgørelse nr. 1386 af 11. december 2013, som ændret ved lov nr. 373 af 14. april 2014, fastsættes efter bemyndigelse i henhold til § 134 a, stk. 1:']",,
"2_Bekendtgørelse om køretøjers største bredde, længde, højde, vægt og akseltryk",19-12-2020,['Kapitel 1'],,
"3_Bekendtgørelse om køretøjers største bredde, længde, højde, vægt og akseltryk",19-12-2020,['Anvendelsesområde og definitioner'],,
"4_Bekendtgørelse om køretøjers største bredde, længde, højde, vægt og akseltryk",19-12-2020,['Anvendelsesområde'],,
"5_Bekendtgørelse om køretøjers største bredde, længde, højde, vægt og akseltryk",19-12-2020,"['§ 1.', 'Denne bekendtgørelse fastsætter regler for køretøjers største bredde, længde, højde, vægt og akseltryk, som gælder såvel i ubelæsset stand som i belæsset stand.']",,
"6_Bekendtgørelse om køretøjers største bredde, længde, højde, vægt og akseltryk",19-12-2020,"['Stk. 2.', 'For så vidt angår transport af udeleligt gods, som medfører overskridelse af en eller flere af reglerne i denne bekendtgørelse, og som udføres med køretøjer, herunder blokvogne, og vogntog, henvises til regler i bekendtgørelse om særtransport. Det samme gælder for kørsel med ubelæssede blokvogne, mobilkraner og store påhængsredskaber.']",,
"7_Bekendtgørelse om køretøjers største bredde, længde, højde, vægt og akseltryk",19-12-2020,['Definitioner'],,
"8_Bekendtgørelse om køretøjers største bredde, længde, højde, vægt og akseltryk",19-12-2020,"['§ 2.', 'I denne bekendtgørelse forstås ved:']",,
"9_Bekendtgørelse om køretøjers største bredde, længde, højde, vægt og akseltryk",19-12-2020,"['1)', 'Alternative brændstoffer: Brændstoffer eller energikilder, som helt eller delvist erstatter fossile oliekilder i energiforsyningen til transport, og som har potentiale til at bidrage til dekarboniseringen af transporten og forbedre miljøpræstationerne i transportsektoren. De alternative brændstoffer er oplistet i Bilag 1.']",,
"10_Bekendtgørelse om køretøjers største bredde, længde, højde, vægt og akseltryk",19-12-2020,"['2)', 'Køretøj, der bruger alternative brændstoffer: Et motorkøretøj, som er godkendt i henhold til direktiv 2007/46/EF, og som helt eller delvist drives af et alternativt brændstof, der fremgår af Bilag 1.']",,
"11_Bekendtgørelse om køretøjers største bredde, længde, højde, vægt og akseltryk",19-12-2020,"['3)', 'Intermodal transport:']",,
"12_Bekendtgørelse om køretøjers største bredde, længde, højde, vægt og akseltryk",19-12-2020,"['a)', 'Kombineret transport, jf. artikel 1 i Rådets direktiv 92/106/EØF, der anvendes til transport af en eller flere containere eller veksellad med en samlet længde på op til 45 fod.']",,
"13_Bekendtgørelse om køretøjers største bredde, længde, højde, vægt og akseltryk",19-12-2020,"['b)', 'Transport ad vandvejen af en eller flere containere eller veksellad med en samlet længde på op til 45 fod, forudsat at den kørte vejstrækning, der indgår som første eller sidste led, ikke overstiger 150 km på Unionens område. Den ovenfor nævnte afstand på 150 km kan overskrides for at nå frem til den nærmeste egnede transportterminal for de planlagte ydelser, når der er tale om:']",,
"14_Bekendtgørelse om køretøjers største bredde, længde, højde, vægt og akseltryk",19-12-2020,"['i)', 'Vogntog, der består af 2-akslet bil med tilkoblet 3-akslet sættevogn eller vogntog, der består af 3-akslet lastbil og 2- eller 3-akslet sættevogn med faktisk totalvægt på indtil 40.000 kg.']",,
"15_Bekendtgørelse om køretøjers største bredde, længde, højde, vægt og akseltryk",19-12-2020,"['ii)', 'Vogntog, der består af 2-akslet bil med 3-akslet sættevogn, som i forbindelse med intermodal transport transporterer en eller flere containere eller et eller flere veksellad med en samlet længde på op til 45 fod og med faktisk totalvægt på indtil 42.000 kg, eller vogntog, der består af 3-akslet bil med 2- eller 3-akslet sættevogn, som i forbindelse med intermodal transport transporterer en eller flere containere eller et eller flere veksellad med en samlet længde på op til 45 fod og med en faktisk totalvægt på indtil 44.000 kg, i tilfælde hvor den relevante medlemsstat tillader sådanne afstande.']",,
"16_Bekendtgørelse om køretøjers største bredde, længde, højde, vægt og akseltryk",19-12-2020,"['iii)', 'For intermodal transport kan den nærmest egnede transportterminal, der leverer en ydelse, ligge i en anden medlemsstat end den, hvor forsendelsen blev lastet eller losset.']",,
"17_Bekendtgørelse om køretøjers største bredde, længde, højde, vægt og akseltryk",19-12-2020,"['4)', 'Afskiber: En retlig enhed eller en fysisk eller juridisk person, der er anført på konnossementet eller på et tilsvarende transportdokument, f.eks. et gennemgangskonnossement, som afskiber og/eller i hvis navn eller på hvis vegne, der er indgået en transportkontrakt med transportvirksomheden.']",,
"18_Bekendtgørelse om køretøjers største bredde, længde, højde, vægt og akseltryk",19-12-2020,"['5)', 'Temperaturkontrolleret opbygning: En fast eller aftagelig opbygning, der er specielt udstyret til transport af varer ved en kontrolleret temperatur, og hvis sidevægges tykkelse inklusive isolering mindst udgør 45 mm.']",,
"19_Bekendtgørelse om køretøjers største bredde, længde, højde, vægt og akseltryk",19-12-2020,"['6)', 'Vejvenlig affjedring: Luftaffjedring eller tilsvarende affjedring som fastlagt i direktiv 96/53/EF, bilag II.']",,
"20_Bekendtgørelse om køretøjers største bredde, længde, højde, vægt og akseltryk",19-12-2020,"['7)', 'International trafik: Transport, der foregår i såvel Danmark som i et andet land. Et sættevogntog er dog i international trafik, når blot sættevognen er det.']",,
"21_Bekendtgørelse om køretøjers største bredde, længde, højde, vægt og akseltryk",19-12-2020,['Kapitel 2'],,
"22_Bekendtgørelse om køretøjers største bredde, længde, højde, vægt og akseltryk",19-12-2020,['Køretøjers bredde'],,
