Title,Date,Text,Text_diff_new,Text_diff_old
0_Est,20.05.2022,"['Vastu võetud 13.06.2011 nr 42', 'RT I, 16.06.2011, 8', 'jõustumine 01.07.2011']",,
1_Est,20.05.2022,"['Muudetud järgmiste aktidega', '(näita)']",,
2_Est,20.05.2022,"['Määrus kehtestatakse', 'liiklusseaduse', '§ 63 lõigete 3 ja 6, §\xa073 lõike\xa011, §\xa080 lõike\xa03 ning §\xa083 lõike\xa05 alusel.']",,
3_Est,20.05.2022,"['(1) Käesolev määrus reguleerib teeliikluses osaleva mootorsõiduki ja selle haagise ning pukseeritava seadme (edaspidi koos', 'sõiduk', '), välja arvatud traktor, liikurmasin ja nende haagised, tehnonõudeid, lubatud suurimaid mõõtmeid, masse ja teljekoormuseid ning nõudeid varustusele. Määruses sätestatud nõuded on aluseks sõiduki, selle osade ja varustuse ekspertiisi, katsetuse ja sõiduki tehnonõuetele vastavuse kontrollimisel ning liiklusjärelevalve teostamisel.', 'RT I, 23.08.2019, 3', '- jõust. 26.08.2019]']",,
4_Est,20.05.2022,"['(2) Käesolev määrus kehtestab nõuded teeliikluses osaleva pukseeritava seadme haakeseadmele ning mõõtmetele ja massidele, eesmärgiga tagada liiklusele ohutute liiklusvahendite kasutamine.']",,
5_Est,20.05.2022,"['(3) Käesoleva määruse nõudeid ei rakendata Kaitseväe ja Kaitseliidu sõidukite registris olevatele sõidukitele, välja arvatud käesoleva määruse lisa 1 grupis nr 11 toodud nõuded. Käesoleva määruse lisa 1 grupis nr 11 kehtestatud erandid Kaitseväe ja Kaitseliidu sõiduki massile ja mõõtmetele kehtivad ainult Kaitseväe ja Kaitseliidu sõidukite registris registreeritud sõidukile.', 'RT I, 09.06.2017, 1', '- jõust. 12.06.2017]']",,
6_Est,20.05.2022,['(4) Käesoleva määruse nõudeid ei rakendada võistlusautodele. Võistlusauto peab vastama liiklusseaduse §\xa082 lõikes\xa01 toodud nõuetele.'],,
7_Est,20.05.2022,"['(1) Teeliikluses osaleva sõiduki tehnonõuded ja nõuded varustusele kehtestatakse järgmiselt:', '1)', 'alates 1. jaanuarist 1997. a liiklusregistrisse kantud või kantavale sõidukile, välja arvatud punktis\xa03, 4 ja\xa05 toodud sõidukid, kehtivad nõuded on toodud käesoleva määruse lisas\xa01;', '2)', 'enne 1. jaanuari 1997. a liiklusregistrisse kantud sõidukile kehtivad nõuded on toodud käesoleva määruse lisas\xa02;', '3)', '30-aastasele ja vanemale sõidukile kehtivad nõuded on loetletud käesoleva määruse lisas\xa02;', 'RT I, 23.08.2019, 3', '- jõust. 26.08.2019]', '4)', 'alates 1. juulist 2011. a kuni 1. jaanuarini 2013. a liiklusregistrisse kantud mopeedile kehtivad nõuded on toodud käesoleva määruse lisas 3;', 'RT I, 24.07.2012, 1', '- jõust. 27.07.2012]', '5)', 'vanasõiduki tehnoseisundile ja originaalsusele kehtivad nõuded on toodud käesoleva määruse lisas\xa04;', '6)', 'mopeedi, mootorratta ning kolm- või neliratta haakes on lubatud vedada käesoleva määruse lisas\xa01 või lisas\xa02 toodud nõuetele vastavat piduriteta kerghaagist, kui käesoleva määruse lisades\xa01, 2 ja\xa03 ei ole ette nähtud teisiti;', '7)', 'Eestis kasutatavad, teises riigis registreeritud veoautod, bussid ja nende haagised peavad vastama käesoleva määruse lisas 1 toodud nõuetele, välja arvatud koodide\xa0107 ja\xa0108 nõuetele ning kui riikidevaheliste lepingutega ei ole ette nähtud teisiti. Sõiduautod, kolm- ja nelirattad, mootorrattad, mopeedid ning nende haagised peavad vastama selles riigis kehtivatele nõuetele, kus sõiduk on registreeritud ja käesoleva määruse lisa 1 koodi 501 punkti 3, koodide 502, 503, 506 ja 507 nõuetele;', 'RT I, 22.10.2019, 4', '- jõust. 25.10.2019]', '8)', 'kui käesoleva lõike punktis 3 toodud sõidukid vabastatakse sõiduki osadele, seadmetele või süsteemidele kehtestatud nõuetest, peavad nõuetest vabastatud sõiduki osad, seadmed või süsteemid vastama valmistaja poolt ettenähtud nõuetele.']",,
8_Est,20.05.2022,"['(2) Käesoleva määruse lisades 1, 2 ja 3 toodud nõuetes märgitud Ühinenud Rahvaste Organisatsioon (edaspidi', 'ÜRO', ') Euroopa Majanduskomisjoni Genfi 1958.\xa0a „Ratassõidukile ning sellel kasutatava ja/või sellele paigaldatava varustuse ja osade ühtlustatud tehnonõuete vastuvõtmise ning nende nõuete alusel väljastatud kinnituste vastastikuse tunnustamise kokkuleppe” eeskirjad (edaspidi', 'E-reegel', ') ja Euroopa Nõukogu ja Parlamendi direktiivid (edaspidi', 'direktiiv', ') ning Euroopa Nõukogu ja Parlamendi määrused (edaspidi', 'EÜ\xa0Nõukogu määrus', ') kehtivad koos E-reegli paranduste seeriatega ning direktiivi ja EÜ\xa0Nõukogu määruse parandustega, mis kehtisid sõiduki valmistamise ajal.']",,
9_Est,20.05.2022,"['(2', ') Viiteid Euroopa Liidu tüübikinnitusraamistikus kehtetuks tunnistatud direktiividele ja EÜ Nõukogu määrustele loetakse käesolevas määruses sõltuvalt sõiduki valmistamise ajast viideteks kehtetuks tunnistatud õigusakte asendavatele õigustaktidele.', 'RT I, 23.08.2019, 3', '- jõust. 26.08.2019]']",,
