Title,Date,Text,Text_diff_new,Text_diff_old
0_Lat,01.06.2020,"['1. Noteikumi nosaka kārtību, kādā izsniedz lielgabarīta un smagsvara pārvadājumu atļaujas (turpmāk – atļauja), kārtību, kādā tiek veikti šie pārvadājumi, un gadījumus, kad atļauja nav nepieciešama.']",,
1_Lat,01.06.2020,"['(MK', '01.10.2019.', 'noteikumu Nr. 463 redakcijā)']",,
2_Lat,01.06.2020,"['2. Noteikumi attiecas uz pārvadājumiem (pārvietošanos pa ceļiem), kuros ar kravu vai pasažieriem vai bez kravas vai pasažieriem pa autoceļu (ielu) braucoša mehāniskā transportlīdzekļa vai tā sastāva izmēri, faktiskā masa vai ass slodze pārsniedz Ministru kabineta 2015. gada 2. jūnija noteikumu Nr. 279 ""', 'Ceļu satiksmes noteikumi', '"" (turpmāk –', 'Ceļu satiksmes noteikumi', '2. pielikumā', 'minētos lielumus.']",,
3_Lat,01.06.2020,"['(Grozīts ar MK', '12.07.2011.', 'noteikumiem Nr. 557; MK', '24.05.2016.', 'noteikumiem Nr. 325)']",,
4_Lat,01.06.2020,"['3. Lielgabarīta transportlīdzeklis ir mehāniskais transportlīdzeklis vai tā sastāvs (ar kravu vai bez tās), kuram vismaz viens izmērs pārsniedz', 'Ceļu satiksmes noteikumu', '2. pielikumā', 'minēto lielumu. Smagsvara transportlīdzeklis ir mehāniskais transportlīdzeklis vai tā sastāvs (ar kravu vai pasažieriem vai bez kravas vai pasažieriem), kura faktiskā masa vai ass slodze pārsniedz', 'Ceļu satiksmes noteikumu', '2. pielikumā', 'minēto lielumu.']",,
5_Lat,01.06.2020,"['(Grozīts ar MK', '24.05.2016.', 'noteikumiem Nr. 325)']",,
6_Lat,01.06.2020,['4. Pārvadājumus var veikt tikai ar kravas specifikai atbilstošiem transportlīdzekļiem.'],,
7_Lat,01.06.2020,"['5. Veicot pārvadājumu, nedrīkst:']",,
8_Lat,01.06.2020,['5.1. vilkt citus transportlīdzekļus;'],,
9_Lat,01.06.2020,['5.2. pārvietoties atkalas laikā;'],,
10_Lat,01.06.2020,"['5.3.', '(svītrots ar MK', '12.07.2011.', 'noteikumiem Nr.557)']",,
11_Lat,01.06.2020,['5.4. pārvietoties pa ceļa nomali.'],,
12_Lat,01.06.2020,"['6. Atļauja nav nepieciešama transportlīdzeklim, kurš veic ceļu uzturēšanas darbus, un mehāniskā transportlīdzekļa vilkšanai uz stāvvietu vai remonta vietu, ja tam ir radušies bojājumi, kuru dēļ tas nevar vai tam aizliegts braukt.']",,
13_Lat,01.06.2020,"['(MK', '24.05.2016.', 'noteikumu Nr. 325 redakcijā)']",,
14_Lat,01.06.2020,"['(Nodaļas nosaukums MK', '01.10.2019.', 'noteikumu Nr. 463 redakcijā)']",,
15_Lat,01.06.2020,['7. Atļaujā iekļauj šādu informāciju:'],,
16_Lat,01.06.2020,"['7.1. pieteicēja vārdu, uzvārdu vai juridiskās personas nosaukumu, adresi, e-pasta adresi un tālruņa numuru;']",,
17_Lat,01.06.2020,"['7.2. lielgabarīta (smagsvara) transportlīdzekļa parametrus (ar kravu) – garumu, platumu, augstumu no brauktuves, aizmugurējo pārkari, ass slodzi, attālumu starp asu centriem, kravas masu un kopējo masu;']",,
18_Lat,01.06.2020,['7.3. lielgabarīta (smagsvara) transportlīdzekļa vilcēja vai piekabes (puspiekabes) marku un valsts reģistrācijas numuru;'],,
19_Lat,01.06.2020,"['7.4. autoceļa (ielas) maršrutu, posmu, apdzīvotas vietas nosaukumu, kur atļauts veikt pārvadājumu;']",,
20_Lat,01.06.2020,['7.5. pārvadājuma veikšanas laiku un atļauto braukšanas ātrumu;'],,
21_Lat,01.06.2020,"['7.6. atļaujas nosacījumus, kas jāievēro, veicot pārvadājumu (ja nepieciešams);']",,
22_Lat,01.06.2020,['7.7. atļaujas izsniegšanas datumu un laiku.'],,
23_Lat,01.06.2020,"['(MK', '01.10.2019.', 'noteikumu Nr. 463 redakcijā)']",,
