Title,Date,Text,Text_diff_new,Text_diff_old
0_Lat,10.07.2021,['1. Noteikumi nosaka ceļu satiksmes kārtību Latvijā.'],,
1_Lat,10.07.2021,['2. Noteikumos lietotie termini:'],,
2_Lat,10.07.2021,"['2.1.', 'apbraukšana', '– braukšana garām vienam vai vairākiem pilnīgi vai daļēji uz brauktuves apturētiem transportlīdzekļiem, kā arī citiem šķēršļiem (kavēkļiem), kas saistīta ar braukšanas virziena maiņu;']",,
3_Lat,10.07.2021,"['2.2.', 'apdzīšana', '– braukšana garām vienam vai vairākiem braucošiem transportlīdzekļiem, iebraucot pretējā braukšanas joslā (brauktuves pusē) un atgriežoties iepriekšējā braukšanas joslā (brauktuves pusē);']",,
4_Lat,10.07.2021,"['2.3.', 'apdzīvota vieta', '– apbūvēta pilsētas vai ciema teritorija, kurā iebraukšana apzīmēta ar 519. vai 555. ceļa zīmi, bet izbraukšana – ar 520. vai 556. ceļa zīmi;']",,
5_Lat,10.07.2021,"['2.4.', 'apstāšanās', '– transportlīdzekļa apturēšana uz laiku, kas nepārsniedz piecas minūtes, ja tā ir nepieciešama pasažieru iekāpšanai transportlīdzeklī vai izkāpšanai no tā, kravas iekraušanai transportlīdzeklī vai izkraušanai no tā;']",,
6_Lat,10.07.2021,"['2.5.', 'apsteigšana', '– braukšana garām vienam vai vairākiem braucošiem transportlīdzekļiem, neiebraucot pretējā braukšanas joslā (brauktuves pusē);']",,
7_Lat,10.07.2021,"['2.5.', 'ar alternatīvo degvielu darbināms transportlīdzeklis', '– mehānisks transportlīdzeklis, kuru pilnībā vai daļēji darbina ar elektroenerģiju, ūdeņradi, dabasgāzi gāzveida agregātstāvoklī, dabasgāzi šķidrā agregātstāvoklī, biometānu, sašķidrināto naftas gāzi vai ar mehānisku enerģiju, kas gūta no mehāniskajos transportlīdzekļos uzstādītas uzglabāšanas iekārtas vai uzstādītiem avotiem, tostarp no siltuma pārpalikuma;']",,
8_Lat,10.07.2021,"['2.5.', 'bezemisiju lielas noslodzes transportlīdzeklis', '– bezemisiju lielas noslodzes transportlīdzeklis, kā tas definēts Eiropas Parlamenta un Padomes 2019. gada 20. jūnija Regulas (ES)', '2019/1242', 'par CO', 'emisiju standartu noteikšanu jauniem lielas noslodzes transportlīdzekļiem un ar kuru groza Eiropas Parlamenta un Padomes Regulas (EK) Nr.', '595/2009', 'un (ES)', '2018/956', 'un Padomes Direktīvu', '96/53/EK', ', 3. panta 11. punktā;']",,
9_Lat,10.07.2021,"['2.6.', 'bīstama krava', '– krava, kas pārvadāšanas vai uzglabāšanas procesā savu īpašību dēļ var izraisīt sprādzienu, ugunsgrēku vai citus postījumus, kā arī apdraudēt cilvēku dzīvību vai veselību;']",,
10_Lat,10.07.2021,"['2.7.', 'braukšanas josla', '– jebkura brauktuves garenvirziena josla (var būt apzīmēta ar ceļa apzīmējumiem), kura ir pietiekami plata, lai pa to vienā rindā varētu braukt automobiļi;']",,
11_Lat,10.07.2021,"['2.8.', 'brauktuve', '– ceļa daļa, kas paredzēta transportlīdzekļu braukšanai. Ceļam var būt vairākas brauktuves, kuras norobežotas ar sadalošajām joslām vai barjerām;']",,
12_Lat,10.07.2021,"['2.9.', 'dot ceļu', '– prasība, kas nosaka, ka ceļu satiksmes dalībnieks nedrīkst sākt braukt (iet), turpināt braukt (iet) vai izdarīt jebkādu manevru, ja tādējādi citiem ceļu satiksmes dalībniekiem tiek radīti traucējumi braukšanai (iešanai) vai viņi ir spiesti mainīt braukšanas (iešanas) virzienu vai ātrumu;']",,
13_Lat,10.07.2021,"['2.10.', 'dzelzceļa pārbrauktuve', '– ceļa krustošanās ar dzelzceļa sliežu ceļa klātni vienā līmenī. Dzelzceļa pārbrauktuves robeža ir iedomāta līnija, kas perpendikulāri ceļa asij šķērso brauktuvi, sākot no dzelzceļa pārbrauktuves barjeras, bet, ja šādas barjeras nav, – no 134. vai 135. ceļa zīmes;']",,
14_Lat,10.07.2021,"['2.11.', 'dzīvojamā zona', '– apbūvēta teritorija (dzīvojamais masīvs, atpūtas vieta) vai tās daļa, kurā iebraukšana apzīmēta ar 533. ceļa zīmi, bet izbraukšana – ar 534. ceļa zīmi;']",,
15_Lat,10.07.2021,"['2.12.', 'elektromobilis', '– mehāniskais transportlīdzeklis, kas pēc savas konstrukcijas kā vienīgo mehānisko dzinējspēku izmanto enerģiju no transportlīdzeklī glabātās elektroenerģijas vai dzinējspēka glabāšanas iekārtas;']",,
16_Lat,10.07.2021,"['2.13.', 'faktiskā masa', '– transportlīdzekļa masa kopā ar transportlīdzekļa vadītāju, pasažieriem un kravu. Vilcējam ar piekabi (puspiekabi) faktiskā masa ir vilcēja un piekabes (puspiekabes) faktisko masu summa;']",,
17_Lat,10.07.2021,"['2.14.', 'galvenais ceļš', '– ceļš, kas apzīmēts ar 201., 203., 204. vai 205. ceļa zīmi, vai ceļš, uz kura nav uzstādītas priekšrocības ceļa zīmes attiecībā pret ceļu, uz kura uzstādīta 206. vai 207. ceļa zīme, vai ceļš ar asfalta, asfaltbetona, bruģa u. tml. segumu attiecībā pret ceļu ar grants vai šķembu segumu, vai ceļš ar jebkādu segumu attiecībā pret ceļu bez seguma, vai jebkurš ceļš attiecībā pret vietu, kur uz ceļa izbrauc no blakusteritorijas (pagalma, stāvvietas, degvielas uzpildes stacijas, uzņēmuma u. tml.). Šā termina izpratnē mazāk svarīga ceļa posma segums tieši pirms krustojuma nenozīmē, ka attiecīgais ceļš ir vienādas nozīmes ar krustojamo ceļu;']",,
18_Lat,10.07.2021,"['2.15.', 'gājēju ceļš', '– atdalīts ceļš vai ceļa daļa, kas paredzēta gājējiem un apzīmēta ar 415. ceļa zīmi;']",,
19_Lat,10.07.2021,"['2.16.', 'gājēju pāreja', '– brauktuves daļa, kas apzīmēta ar 535. un 536. ceļa zīmi un (vai) 931. ceļa apzīmējumu un paredzēta gājēju pāriešanai pāri brauktuvei;']",,
20_Lat,10.07.2021,"['2.17.', 'gājēju un velosipēdu ceļš', '– atdalīts ceļš vai ceļa daļa, kas paredzēta gājējiem un braukšanai ar velosipēdu\xa0vai elektroskrejriteni un apzīmēta ar 419. vai 421. ceļa zīmi;']",,
21_Lat,10.07.2021,"['2.18.', 'ietve', '– ceļa daļa, kas paredzēta gājējiem. Ietve piekļaujas brauktuvei vai ir atdalīta no tās;']",,
22_Lat,10.07.2021,"['2.19.', 'kopīgs gājēju un velosipēdu ceļš', '– atdalīts ceļš vai ceļa daļa, kas paredzēta jauktai gājēju, velosipēdu un elektroskrejriteņu satiksmei un apzīmēta ar 417. ceļa zīmi;']",,
23_Lat,10.07.2021,"['2.20.', 'krustojums', '– vieta, kur krustojas, piekļaujas vai atzarojas ceļi vienā līmenī, kā arī vieta, kur ceļu satiksme organizēta ar 409. ceļa zīmi. Krustojums ir norobežots ar iedomātām līnijām, kas savieno brauktuves pretējo malu noapaļojuma sākumu. Šis termins neattiecas uz vietu, kur uz brauktuves izbrauc no blakusteritorijas (pagalma, stāvvietas, degvielas uzpildes stacijas, uzņēmuma u. tml.) vai iebrauc tajā;']",,
24_Lat,10.07.2021,"['2.21.', 'nomale', '– ceļa daļa, kas piekļaujas brauktuvei un nav paredzēta mehānisko transportlīdzekļu braukšanai;']",,
25_Lat,10.07.2021,"['2.22.', 'pasažieru sabiedriskais transportlīdzeklis', '– autobuss, trolejbuss vai tramvajs, kas brauc pa noteiktu maršrutu;']",,
26_Lat,10.07.2021,"['2.23.', 'piespiedu apstāšanās', '– transportlīdzekļa apturēšana tehniska bojājuma dēļ vai bīstamības dēļ, ko rada transportlīdzekļa vadītāja vai pasažiera veselības stāvoklis, vedamā krava vai ceļu satiksmei bīstams šķērslis uz ceļa;']",,
27_Lat,10.07.2021,"['2.24.', 'priekšroka', '– tiesības braukt (iet) iecerētajā virzienā pirmajam attiecībā pret citiem ceļu satiksmes dalībniekiem;']",,
28_Lat,10.07.2021,"['2.25.', 'sadalošā josla', '– ceļa daļa, kas norobežo blakus brauktuves vienu no otras un nav paredzēta transportlīdzekļu braukšanai vai apturēšanai;']",,
29_Lat,10.07.2021,"['2.26.', 'satiksmes regulētājs', '– persona, kas regulē ceļu satiksmi un ir pilnvarota to darīt;']",,
30_Lat,10.07.2021,"['2.27.', 'stāvēšana', '– transportlīdzekļa apturēšana, ja tā nav saistīta ar pasažieru iekāpšanu transportlīdzeklī vai izkāpšanu no tā, kravas iekraušanu transportlīdzeklī vai izkraušanu no tā, kā arī transportlīdzekļa apturēšana uz laiku, kas pārsniedz piecas minūtes, ja tā ir saistīta ar pasažieru iekāpšanu transportlīdzeklī vai izkāpšanu no tā, kravas iekraušanu transportlīdzeklī vai izkraušanu no tā;']",,
31_Lat,10.07.2021,"['2.28.', 'transportlīdzekļu sastāvs', '– mehāniskais transportlīdzeklis, kas savienots ar piekabi (puspiekabi), kā arī savienots velkošais un velkamais transportlīdzeklis;']",,
32_Lat,10.07.2021,"['2.29.', 'velojosla', '– josla uz brauktuves, kas paredzēta braukšanai ar velosipēdu\xa0un elektroskrejriteni un no citu transportlīdzekļu satiksmes ir atdalīta ar 920. ceļa apzīmējumu (tiek apzīmēta ar 941. ceļa apzīmējumu; var tikt apzīmēta ar 413. un 824. ceļa zīmi);']",,
33_Lat,10.07.2021,"['2.30.', 'velosipēdu ceļš', '– atdalīts ceļš vai ceļa daļa, kas paredzēta braukšanai ar velosipēdiem\xa0un elektroskrejriteņiem un apzīmēta ar 413. ceļa zīmi un 932. vai 941. ceļa apzīmējumu.']",,
34_Lat,10.07.2021,"['(Grozīts ar MK', '22.08.2017.', 'noteikumiem Nr. 496; MK', '11.05.2021.', 'noteikumiem Nr. 290; MK', '06.07.2021.', 'noteikumiem Nr. 487)']",,
35_Lat,10.07.2021,['3.\xa0Nacionālo bruņoto spēku speciālās militārās tehnikas pārvietošanās pa ceļu atļauta:'],,
36_Lat,10.07.2021,['3.1.\xa0ja attiecīgie ceļa posmi tiek slēgti normatīvajos aktos par ceļu satiksmi noteiktajā kārtībā;'],,
37_Lat,10.07.2021,['3.2.\xa0ja speciālo militāro tehniku pavada Militārā policija;'],,
38_Lat,10.07.2021,"['3.3.\xa0ja speciālajai militārajai tehnikai priekšpusē ir iedegts baltas gaismas lukturis (lukturi), aizmugurē – sarkanas gaismas lukturis (lukturi), kā arī papildus ir iedegta mirgojoša oranža (dzeltena) bākuguns, kura redzama gan no priekšpuses, gan no aizmugures.']",,
