Title,Date,Text,Text_diff_new,Text_diff_old
0_Artikel1,01-07-2021,"['Artikel 1', 'Toon relaties in LiDO', 'voor: Artikel 1', 'Maak een permanente link', 'van: Artikel 1', 'Toon wetstechnische informatie', 'van: Artikel 1', 'Vergelijk met een andere versie', 'van: Artikel 1', 'Druk het regelingonderdeel af', 'Artikel 1', 'Sla het regelingonderdeel op', 'Artikel 1', 'In dit besluit en de daarop berustende bepalingen wordt verstaan onder:', 'aanhangwagens', ': voertuigen die door een voertuig worden voortbewogen of kennelijk bestemd zijn omaldus te worden voortbewogen, alsmede opleggers;', 'ambulance', ': motorvoertuig, ingericht en bestemd om te worden gebruikt voor ambulancezorg alsbedoeld in de', 'Tijdelijke wet ambulancezorg', 'autobus', ': motorvoertuig, ingericht voor het vervoer van meer dan acht personen, de bestuurderdaaronder niet begrepen;', 'autosnelweg', ': weg, aangeduid door bord G1 van', 'bijlage I', '; langs autosnelwegen gelegen parkeerplaatsen, tankstations en bushalteplaatsen makengeen deel van de autosnelweg uit;', 'autoweg', ': weg, aangeduid door bord G3 van', 'bijlage I', '; langs autowegen gelegen parkeerplaatsen, tankstations en bushalteplaatsen makengeen deel van de autoweg uit;', 'bedrijfsauto', ': bedrijfsauto als bedoeld in', 'artikel 1.1 van de Regeling voertuigen', 'bestelauto', ': motorvoertuig, bestemd voor het vervoer van goederen, waarvan de toegestane maximummassa niet meer bedraagt dan 3500 kg;', 'bestemmingsverkeer', ': bestuurders wier reisdoel één of meer bepaalde percelen betreft die zijn gelegenaan of in de directe nabijheid van een weg met een door verkeerstekens aangegevengeslotenverklaring voor bepaalde categorieën bestuurders en die slechts via deze wegzijn te bereiken alsmede bestuurders van lijnbussen;', 'bestuurders', ': alle weggebruikers behalve voetgangers;', 'bestuurder van een motorvoertuig', '1.', 'hij die het motorvoertuig bestuurt of', '2.', 'voor zover het betreft een motorvoertuig voor het besturen waarvan een rijbewijs AM,B, C, D of E, is vereist en dat is voorzien van een dubbele bediening, hij die rijonderrichtgeeft of toezicht houdt in het kader van een vanwege de overheid ingesteld onderzoeknaar de rijvaardigheid, niet zijnde een onderzoek als bedoeld in', 'artikel 131, eerste lid, van de wet', 'bevoegd gezag', ': gezag als bedoeld in', 'artikel 18, eerste lid, van de wet', 'brombakfiets', ': bromfiets op drie symmetrisch geplaatste wielen, met twee voorwielen en uitsluitendingericht voor het vervoer van de bestuurder en van goederen en eventueel van eenachter de bestuurder gezeten passagier;', 'brommobiel', ': bromfiets op meer dan twee wielen, die is voorzien van een carrosserie;', 'busbaan', ': rijbaan waarop het woord «BUS» of «LIJNBUS» is aangebracht;', 'busstrook', ': door doorgetrokken of onderbroken strepen gemarkeerd gedeelte van de rijbaan waarophet woord «BUS» of «LIJNBUS» is aangebracht;', 'dag', ': de periode tussen zonsopgang en zonsondergang;', 'diensten voor spoedeisende medische hulpverlening:', 'de op grond van', 'artikel 6 van de Tijdelijke wet ambulancezorg', 'aangewezen Regionale Ambulancevoorzieningen, alsmede andere hulpverleningsdienstendie zich in opdracht van een meldkamer als bedoeld in', 'artikel 1, eerste lid, onder e, van de Tijdelijke wet ambulancezorg', 'bezig houden met het verlenen van spoedeisende medische hulpverlening;', 'dierenambulance', ': motorvoertuig, ingericht en bestemd om te worden gebruikt voor het vervoer van ziekeen gewonde dieren;', 'doorgaande rijbaan', ': rijbaan zonder de invoeg- en uitrijstroken;', 'driewielig motorvoertuig', ': driewielig motorrijtuig als bedoeld in', 'artikel 1.1 van de Regeling voertuigen', 'fietsstrook', ': door doorgetrokken of onderbroken strepen gemarkeerd gedeelte van de rijbaan waaropafbeeldingen van een fiets zijn aangebracht;', 'gehandicaptenvoertuig', ': voertuig dat is ingericht voor het vervoer van een gehandicapte, niet breder isdan 1,10 meter en niet is uitgerust met een motor, dan wel is uitgerust met een motorwaarvan de door de constructie bepaalde maximumsnelheid niet meer dan 45 km per uurbedraagt, en geen bromfiets is;', 'geslotenverklaring', ': verbod de betrokken weg in te rijden of in te gaan alsmede de betrokken weg te gebruiken;', 'haaietanden', ': voorrangsdriehoeken op het wegdek;', 'invoegstrook', ': door een blokmarkering van de doorgaande rijbaan afgescheiden weggedeelte dat isbestemd voor bestuurders die de doorgaande rijbaan oprijden;', 'kruispunt', ': kruising of splitsing van wegen;', 'ligplaats:', 'ligplaats als bedoeld in', 'artikel 1.1 van de Regeling voertuigen', 'lijnbus', ': motorvoertuig, gebezigd voor het verrichten van openbaar vervoer in de zin van de', 'Wet personenvervoer 2000', 'militaire kolonne', ': een aantal zich achter elkaar bevindende militaire dan wel bij een onderdeel vande rampenbestrijdingsorganisatie in gebruik zijnde motorvoertuigen, onder één commandant,die de door Onze Minister in overeenstemming met Onze Minister van Defensie vastgesteldeherkenningstekens voeren;', 'motorfiets', ': motorvoertuig op twee wielen al dan niet met zijspan- of aanhangwagen;', 'motorvoertuigen', ': alle gemotoriseerde voertuigen behalve bromfietsen, fietsen met trapondersteuningen gehandicaptenvoertuigen, bestemd om anders dan langs rails te worden voortbewogen;', 'nacht', ': de periode tussen zonsondergang en zonsopgang;', 'overweg', ': kruising van een weg en een spoorweg die wordt aangeduid door middel van bord J12of J13 van', 'bijlage 1', 'parkeerhaven of parkeerstrook', ': langs de rijbaan gelegen verharding die is bestemd voor stilstaande of geparkeerdevoertuigen;', 'parkeren', ': het laten stilstaan van een voertuig anders dan gedurende de tijd die nodig is vooren gebruikt wordt tot het onmiddellijk in- of uitstappen van passagiers of voor hetonmiddellijk laden of lossen van goederen;', 'personenauto', ': personenauto als bedoeld in', 'artikel 1.1 van de Regeling voertuigen', 'puntstuk', ': meerhoekig vlak op het wegdek, opgenomen bij splitsingen of samenvoegingen van wegen,rijstroken of rijbanen;', 'richtlijn 97/24/EG:', 'richtlijn nr.\xa097/24/EG van het Europees Parlement en de Raad van 17\xa0juni 1997 betreffendebepaalde onderdelen of eigenschappen van motorvoertuigen op twee of drie wielen (PbEGL\xa0226);', 'rijbaan', ': elk voor rijdende voertuigen bestemd weggedeelte met uitzondering van de fietspadenen de fiets/bromfietspaden;', 'rijstrook', ': door doorgetrokken of onderbroken strepen gemarkeerd gedeelte van de rijbaan vanzodanige breedte dat bestuurders van motorvoertuigen op meer dan twee wielen daarvangebruik kunnen maken;', 'snorfiets', '1.', 'bromfiets die blijkens de gegevens in het kentekenregister is geconstrueerd voor eenmaximumsnelheid die niet meer bedraagt dan 25\xa0km per uur, met uitzondering van despeed-pedelec, of', '2.', 'bromfiets als bedoeld in', 'artikel 1, eerste lid, onderdeel e, subonderdeel d, van de wet', 'speed-pedelec:', 'elektrische bromfiets met trapondersteuning waarvan de aandrijfkracht aanhoudt alshet voertuig de snelheid van 25\xa0km per uur overschrijdt;', 'spitsstrook', ': de vluchtstrook die als rijstrook is aangewezen blijkens bord C23-01 van', 'bijlage 1', 'T100-bus', ': autobus, ten aanzien waarvan uit een aantekening op het kentekenbewijs of uit hetkentekenregister blijkt dat hij zodanig is ingericht dat hij in aanmerking komt vooreen maximumsnelheid van 100 kilometer per uur.', 'Met een T100-bus als bedoeld in dit besluit wordt gelijkgesteld een autobus die isgeregistreerd in een andere lidstaat van de Europese Unie dan wel een staat, nietzijnde een lidstaat van de Europese Unie, die partij is bij een daartoe strekkendof mede daartoe strekkend Verdrag dat Nederland bindt, en ten aanzien waarvan uithet kentekenbewijs of uit een verklaring afgegeven door een onafhankelijke keuringsinstelling,afgegeven op basis van onderzoekingen die een beschermingsniveau bieden dat ten minstegelijkwaardig is aan het niveau dat met de nationale onderzoekingen wordt nagestreefd,blijkt dat de autobus geschikt is voor een maximumsnelheid van 100 kilometer per uur;', 'uitrijstrook', ': door een blokmarkering van de doorgaande rijbaan afgescheiden weggedeelte dat isbestemd voor bestuurders die de doorgaande rijbaan verlaten;', 'uitvaartstoet van motorvoertuigen:', 'een stoet, bestaande uit motorvoertuigen, die een lijk als bedoeld in', 'artikel 2, eerste lid, onderdeel a, van de Wet op de lijkbezorging', 'of de as van een gecremeerd lijk begeleiden en die de in', 'artikel 30c', 'bedoelde herkenningstekens voeren;', 'veiligheidscel', ': onderdeel van de constructie van een bromfiets, een motorfiets of een driewieligmotorvoertuig dat de bestuurder of passagiers beschermt tegen hoofdletsel;', 'verdrijvingsvlak', ': gedeelte van de rijbaan waarop schuine strepen zijn aangebracht;', 'verkeer', ': alle weggebruikers;', 'verkeersregelaar', ': persoon als bedoeld in', 'artikel 1, onderdeel i, van het Besluit administratieve bepalingen inzake het wegverkeer', 'verlicht transparant', ': verlicht transparant als bedoeld in', 'artikel 1.1 van de Regeling voertuigen', 'vluchthaven of vluchtstrook', ': door een doorgetrokken streep van de rijbaan van de autosnelweg of autoweg afgescheidenweggedeelte, dat bestemd is voor gebruik in noodgevallen, behoudens voor de duur vanopenstelling als spitsstrook;', 'voertuigen', ': fietsen, bromfietsen, gehandicaptenvoertuigen, motorvoertuigen, trams en wagens;', 'voorrangsvoertuig', ': motorvoertuig dat de optische en geluidssignalen voert als bedoeld in', 'artikel 29', 'voorrang verlenen', ': het de betrokken bestuurders in staat stellen ongehinderd hun weg te vervolgen;', 'vrachtauto', ': motorvoertuig, niet ingericht voor het vervoer van personen, waarvan de toegestanemaximum massa meer bedraagt dan 3500 kg;', 'weggebruikers', ': voetgangers, fietsers, bromfietsers, bestuurders van een gehandicaptenvoertuig,van een motorvoertuig of van een tram, ruiters, geleiders van rij- of trekdieren ofvee en bestuurders van een bespannen of onbespannen wagen;', 'wet', 'Wegenverkeerswet 1994', 'zitplaats', ': zitplaats als bedoeld in', 'artikel 1.1 van de Regeling voertuigen']",,
1_Artikel1a,01-07-2021,"['Artikel 1a', 'Toon relaties in LiDO', 'voor: Artikel 1a', 'Maak een permanente link', 'van: Artikel 1a', 'Toon wetstechnische informatie', 'van: Artikel 1a', 'Vergelijk met een andere versie', 'van: Artikel 1a', 'Druk het regelingonderdeel af', 'Artikel 1a', 'Sla het regelingonderdeel op', 'Artikel 1a', 'Onder de vermelding in dit besluit van een EG-richtlijn of VN/ECE-reglement wordtverstaan hetgeen daaronder wordt begrepen in', 'artikel 1.2 van de Regeling voertuigen', ', met inbegrip van de ingevolge', 'artikel 1.3, eerste lid, van de Regeling voertuigen', 'bekendgemaakte wijzigingen.', 'Artikel 1.3, tweede lid, van de Regeling voertuigen', 'is van overeenkomstige toepassing.']",,
2_Artikel2,01-07-2021,"['Artikel 2', 'Toon relaties in LiDO', 'voor: Artikel 2', 'Maak een permanente link', 'van: Artikel 2', 'Toon wetstechnische informatie', 'van: Artikel 2', 'Vergelijk met een andere versie', 'van: Artikel 2', 'Druk het regelingonderdeel af', 'Artikel 2', 'Sla het regelingonderdeel op', 'Artikel 2', 'De regels van dit besluit betreffende voetgangers zijn mede van toepassing op bestuurdersvan een gehandicaptenvoertuig, indien zij van een voetpad of trottoir gebruik makenof van het ene naar het andere voetpad of trottoir oversteken.', 'De regels van dit besluit betreffende voetgangers zijn voorts mede van toepassingop personen die te voet een motorfiets, bromfiets of fiets aan de hand meevoeren,alsmede op personen die zich verplaatsen met behulp van voorwerpen, niet zijnde voertuigen.', 'De regels van dit besluit betreffende wagens zijn mede van toepassing op door voetgangersgevormde kolonnes, optochten en uitvaartstoeten voor zover deze de rijbaan volgen.']",,
3_Artikel2a,01-07-2021,"['Artikel 2a', 'Toon relaties in LiDO', 'voor: Artikel 2a', 'Maak een permanente link', 'van: Artikel 2a', 'Toon wetstechnische informatie', 'van: Artikel 2a', 'Vergelijk met een andere versie', 'van: Artikel 2a', 'Druk het regelingonderdeel af', 'Artikel 2a', 'Sla het regelingonderdeel op', 'Artikel 2a', 'De regels van dit besluit betreffende motorvoertuigen en bestuurders en passagiersvan motorvoertuigen zijn, in plaats van de regels betreffende bromfietsen, bromfietsersen passagiers van bromfietsen, mede van toepassing op brommobielen en bestuurdersen passagiers van brommobielen, tenzij anders is bepaald.']",,
4_Artikel2b,01-07-2021,"['Artikel 2b', 'Toon relaties in LiDO', 'voor: Artikel 2b', 'Maak een permanente link', 'van: Artikel 2b', 'Toon wetstechnische informatie', 'van: Artikel 2b', 'Vergelijk met een andere versie', 'van: Artikel 2b', 'Druk het regelingonderdeel af', 'Artikel 2b', 'Sla het regelingonderdeel op', 'Artikel 2b', 'De regels van dit besluit betreffende fietsen en fietsers zijn, in plaats van de regelsbetreffende bromfietsen en bromfietsers, mede van toepassing op snorfietsen en snorfietsers,tenzij anders is bepaald.']",,
5_Artikel3,01-07-2021,"['Artikel 3', 'Toon relaties in LiDO', 'voor: Artikel 3', 'Maak een permanente link', 'van: Artikel 3', 'Toon wetstechnische informatie', 'van: Artikel 3', 'Vergelijk met een andere versie', 'van: Artikel 3', 'Druk het regelingonderdeel af', 'Artikel 3', 'Sla het regelingonderdeel op', 'Artikel 3', 'Bestuurders zijn verplicht zoveel mogelijk rechts te houden.', 'Fietsers mogen met zijn tweeën naast elkaar rijden. Dit geldt niet voor snorfietsers.']",,
6_Artikel4,01-07-2021,"['Artikel 4', 'Toon relaties in LiDO', 'voor: Artikel 4', 'Maak een permanente link', 'van: Artikel 4', 'Toon wetstechnische informatie', 'van: Artikel 4', 'Vergelijk met een andere versie', 'van: Artikel 4', 'Druk het regelingonderdeel af', 'Artikel 4', 'Sla het regelingonderdeel op', 'Artikel 4', 'Voetgangers gebruiken het trottoir of het voetpad.', 'Zij gebruiken het fietspad of het fiets/bromfietspad indien trottoir en voetpad ontbreken.', 'Zij gebruiken de berm of de uiterste zijde van de rijbaan, indien ook een fietspad of een fiets/bromfietspad ontbreekt.', 'In afwijking van het eerste en het tweede lid gebruiken personen die zich verplaatsen met behulp van voorwerpen, niet zijnde voertuigen, het fietspad, het fiets/bromfietspad, het trottoir of het voetpad. Zij gebruiken de rijbaan indien een fietspad, een fiets/bromfietspad, een trottoir of een voetpad ontbreekt.']",,
7_Artikel5,01-07-2021,"['Artikel 5', 'Toon relaties in LiDO', 'voor: Artikel 5', 'Maak een permanente link', 'van: Artikel 5', 'Toon wetstechnische informatie', 'van: Artikel 5', 'Vergelijk met een andere versie', 'van: Artikel 5', 'Druk het regelingonderdeel af', 'Artikel 5', 'Sla het regelingonderdeel op', 'Artikel 5', 'Fietsers gebruiken het verplichte fietspad of het fiets/bromfietspad.', 'Zij gebruiken de rijbaan indien een verplicht fietspad of een fiets/bromfietspad ontbreekt.', 'Zij mogen het onverplichte fietspad gebruiken. Bestuurders van snorfietsen uitgerust met een verbrandingsmotor mogen het onverplichte fietspad slechts gebruiken met uitgeschakelde motor.', 'Bestuurders van fietsen op meer dan twee wielen die met inbegrip van de lading breder zijn dan 0,75 meter en van fietsen met aanhangwagen die met inbegrip van de lading breder zijn dan 0,75 meter mogen de rijbaan gebruiken.', 'Bestuurders vanaf 16 jaar van snorfietsen als bedoeld in', 'artikel 1, eerste lid, onderdeel e, subonderdeel d, van de wet', 'mogen het trottoir en het voetpad gebruiken indien zij beschikken over een gehandicaptenparkeerkaart of een bij ministeriële regeling aangewezen kaart ten behoeve van het vervoer van gehandicapten.', 'Bestuurders jonger dan 16 jaar van snorfietsen als bedoeld in', 'artikel 1, eerste lid, onderdeel e, subonderdeel d, van de wet', 'gebruiken het trottoir of het voetpad indien zij beschikken over een gehandicaptenparkeerkaart of een bij ministeriële regeling aangewezen kaart ten behoeve van het vervoer van gehandicapten.', 'Het eerste lid, het tweede lid en het vierde lid gelden niet voor bestuurders als bedoeld in het zesde lid.', 'Bestuurders van snorfietsen gebruiken de rijbaan indien dit bij verkeersbesluit, bedoeld in', 'artikel 15, eerste lid, van de wet', ', is bepaald en bij het verkeersteken dat het verplichte fietspad aangeeft een onderbord dit aanduidt.', 'Het achtste lid is niet van toepassing op snorfietsen als bedoeld in', 'artikel 1, eerste lid, onderdeel e, onder d, van de wet', 'en op bestuurders van snorfietsen zijnde bestuurders als bedoeld in het vijfde en zesde lid van dit artikel.']",,
8_Artikel6,01-07-2021,"['Artikel 6', 'Toon relaties in LiDO', 'voor: Artikel 6', 'Maak een permanente link', 'van: Artikel 6', 'Toon wetstechnische informatie', 'van: Artikel 6', 'Vergelijk met een andere versie', 'van: Artikel 6', 'Druk het regelingonderdeel af', 'Artikel 6', 'Sla het regelingonderdeel op', 'Artikel 6', 'Bromfietsers gebruiken het fiets/bromfietspad.', 'Zij gebruiken de rijbaan indien een fiets/bromfietspad ontbreekt.', 'Bestuurders van bromfietsen op meer dan twee wielen en bromfietsen met aanhangwagen, die met inbegrip van de lading breder zijn dan 0,75 meter, gebruiken de rijbaan.']",,
9_Artikel7,01-07-2021,"['Artikel 7', 'Toon relaties in LiDO', 'voor: Artikel 7', 'Maak een permanente link', 'van: Artikel 7', 'Toon wetstechnische informatie', 'van: Artikel 7', 'Vergelijk met een andere versie', 'van: Artikel 7', 'Druk het regelingonderdeel af', 'Artikel 7', 'Sla het regelingonderdeel op', 'Artikel 7', 'Bestuurders van een gehandicaptenvoertuig gebruiken het trottoir, het voetpad, het fietspad, het fiets/bromfietspad of de rijbaan.']",,
