Title,Date,Text,Text_diff_new,Text_diff_old
Política de privacidad de la Dirección General de Transporte Terrestre,,"['Inicio', 'Transporte Terrestre', 'Profesionales del transporte', 'Aplicaciones y consultas', 'Política de privacidad de la Dirección General de Transporte Terrestre', 'www.mitma.gob.es', '. No se garantiza en los accesos a través de enlaces con este sitio, ni a los enlaces desde este sitio con otras webs', 'Protección de datos', 'Política de privacidad de la Dirección General de Transporte Terrestre']",,
Pesos máximos: exceso de peso. Sanciones,,"['Inicio', 'Transporte Terrestre', 'Marco de referencia del sector', 'Inspección y seguridad en el transporte', 'Pesos y dimensiones', 'Pesos máximos: exceso de peso. Sanciones', 'Excesos de peso (TTE. público y TTE. privado)', 'Hechos sancionables', 'El exceso sobre la masa máxima autorizada de los vehículos o sobre ejes en los porcentajes siguientes:', 'Faltas muy graves (Sanciones desde 2.001 a 4.000 €)', 'Sobre M.MA.', 'Exceso total', 'Sobre ejes', 'Exceso total', '> de 12 Tm.', '≥ 20%', '> de 12 Tm.', '≥ 40%', '≤ 12 Tm', '≥ 25%', '≤ 12 Tm', '≥ 50%', 'El exceso sobre la masa máxima autorizada de los vehículos o de alguno de sus ejes en los porcentajes siguientes :', 'Faltas graves (Sanciones desde 801 a 1.000 €)', 'Sobre M.MA.', 'Exceso total', 'Sobre ejes', 'Exceso total', '> de 12 Tm', '≥ 10%', '> de 12 Tm', '≥ 25%', '≤ 12 Tm', '≥ 15%', '≤ 12 Tm', '≥ 30%', 'El exceso sobre la masa máxima autorizada de los vehículos o de alguno de sus ejes en los porcentajes siguientes :', 'Faltas leves (Sanciones desde 301 a 400 €)', 'Sobre M.MA.', 'Exceso total', 'Sobre ejes', 'Exceso total', '> de 12 Tm', '> 2,5%', '> de 12 Tm', '> 15%', '≤ 12 Tm', '> 5%', '≤ 12 Tm', '> 20%', '* Cuando esta infracción sea detectada durante su comisión en carretera deberá ordenarse la inmediata inmovilización del vehículo hasta que se supriman los motivos determinantes de la infracción.', 'Protección de datos', 'Política de privacidad de la Dirección General de Transporte Terrestre']",,
Masas máximas por eje permitidas RD 2822/1998,,"['Inicio', 'Transporte Terrestre', 'Marco de referencia del sector', 'Inspección y seguridad en el transporte', 'Pesos y dimensiones', 'Masas máximas por eje permitidas RD 2822/1998', 'Tabla 1. Masas por eje máximas permitidas RD 2822/1998', 'Toneladas', 'Eje simple', 'Eje motor', '11,5', 'Eje motor de los vehículos de la clase I (autobuses urbanos), según la clasificación de la Directiva 2001/85/CE, de 20 de noviembre', '13', 'Eje motor de los vehículos de las clases II y III (autobuses interurbanos), según la clasificación de la Directiva 2001/85/CE de 20 de noviembre', '12,6', 'Eje no motor', '10', 'Eje Tandem', 'Eje tándem de los vehículos de motor', 'Si la separación «d» de dos ejes es inferior a 1,00 metros (d < 1,00 m)', '11,5', 'Si es igual o superior a 1,00 metros e inferior a 1,30 metros (1,00 m ≤ d < 1,30 m)', '16', 'Si es igual o superior a 1,30 metros e inferior a 1,80 metros (1,30 m d < 1,80 m)', '18', 'En el caso anterior si el eje motor va equipado con neumáticos dobles y suspensión neumática o reconocida como equivalente a escala comunitaria, o cuando cada eje motor esté equipado con neumáticos dobles y la masa máxima de cada eje no excede de las 9,5 toneladas', '19', 'Eje tándem de los remolques o semirremolques', 'Si la separación «d» de los ejes es inferior a 1,00 metros (d < 1,00 m)', '11', 'Si es igual o superior a 1,00 metros e inferior a 1,30 metros (1,00 ≤ d < 1,30 m)', '16', 'Si es igual o superior a 1,30 metros e inferior a 1,80 metros (1,30 m ≤ d < 1,80 m) (1)', '18', 'Si es igual o superior a 1,80 metros (1,80 m ≤ d)', '20', 'Tándem triaxial de los remolques o semirremolques', 'Si la distancia es igual o inferior a 1,30 metros (d ≤ 1,30 m)', '21', 'Si la distancia es superior a 1,30 metros e inferior o igual a 1,40 metros (1,30 < d ≤ 1,40 m)', '24', '(1) Salvo para semirremolques equipados con caja basculante reforzada para la utilización específica en construcción, obras o minería que será de 20 toneladas.', 'Eje simple', 'Eje Tándem de los vehículos de motor-eje Tándem de los remolques o semirremolques', 'Tándem triaxial de los remolques o semirremolques', 'Protección de datos', 'Política de privacidad de la Dirección General de Transporte Terrestre']",,
Pesos (remolques),,"['Inicio', 'Transporte Terrestre', 'Marco de referencia del sector', 'Inspección y seguridad en el transporte', 'Pesos y dimensiones', 'Pesos (remolques)', 'Remolque de dos ejes', 'Remolque de tres ejes', 'Protección de datos', 'Política de privacidad de la Dirección General de Transporte Terrestre']",,
Pesos trenes de carretera,,"['Inicio', 'Transporte Terrestre', 'Marco de referencia del sector', 'Inspección y seguridad en el transporte', 'Pesos y dimensiones', 'Pesos trenes de carretera', 'Trenes de carretera de 4 ejes', 'Trenes de carretera de 4 ejes', 'Masas máximas permitidas', 'Toneladas', 'Vehículo de motor de 2 ejes y remolque de 2 ejes', '36', 'Trenes de carretera de 5 o más ejes', 'Trenes de carretera de 5 o más ejes', 'Masas máximas permitidas', 'Toneladas', 'Vehículo de motor de 2 ejes con remolque de 3 ejes', '40', 'Vehículo de motor de 3 ejes con remolque de 2 o 3 ejes', '40', 'Protección de datos', 'Política de privacidad de la Dirección General de Transporte Terrestre']",,
Longitud máxima vehículos o conjuntos de vehículos con mejoras aerodinámicas,,"['Inicio', 'Transporte Terrestre', 'Marco de referencia del sector', 'Inspección y seguridad en el transporte', 'Longitud máxima vehículos o conjuntos de vehículos con mejoras aerodinámicas', 'Los vehículos o conjuntos de vehículos que cuenten con cabinas homologadas que mejoren el rendimiento aerodinámico, la eficiencia energética y la seguridad vial, así como los equipados con dispositivos aerodinámicos homologados en la parte trasera, podrán rebasar, a tal efecto, la longitud máxima establecida. Cualquier rebasamiento de las longitudes máximas no implicará un aumento de la capacidad de carga de dichos vehículos.', 'Los dispositivos aerodinámicos deberán reunir las siguientes condiciones operativas:', 'Cuando la seguridad de otros usuarios de la carretera o del conductor esté en peligro, el conductor los plegará, replegará o desmontará.', 'Su uso en vías urbanas e interurbanas tendrá en cuenta las características especiales de las zonas donde el límite de velocidad sea inferior o igual a 50 km/h y donde la probabilidad de que haya usuarios de la carretera vulnerables sea mayor.', 'Su uso será compatible con las operaciones de transporte intermodal y, en particular, cuando se replieguen o plieguen, no deberán aumentar la longitud máxima autorizada en más de 20 cm.', 'Protección de datos', 'Política de privacidad de la Dirección General de Transporte Terrestre']",,
Anchura máxima,,"['Inicio', 'Transporte Terrestre', 'Marco de referencia del sector', 'Inspección y seguridad en el transporte', 'Pesos y dimensiones', 'Anchura máxima', 'Protección de datos', 'Política de privacidad de la Dirección General de Transporte Terrestre']",,
Altura máxima,,"['Inicio', 'Transporte Terrestre', 'Marco de referencia del sector', 'Inspección y seguridad en el transporte', 'Pesos y dimensiones', 'Altura máxima', 'Norma general', ': La altura máxima de los vehículos, incluida la carga, podrá ser de', '4,00 metros', '. (4,20 metros, para autobuses Clase I urbano)', 'Se permitirá hasta 4,50 metros de altura máxima, incluida la carga', 'Protección de datos', 'Política de privacidad de la Dirección General de Transporte Terrestre']",,
Longitud máxima-resumen general,,"['Inicio', 'Transporte Terrestre', 'Marco de referencia del sector', 'Inspección y seguridad en el transporte', 'Pesos y dimensiones', 'Longitud máxima-resumen general', 'Tabla de datos', 'Longitud/Distancia máxima', 'Metros', 'Vehículos de motor excepto autobuses (1)', '12,00', 'Remolques (1)', '12,00', 'Vehículos articulados excepto autobuses (1)', '16,50', 'Distancia máxima entre el eje de pivote de enganche y la parte trasera del semirremolque (1)', '12,00', 'Distancia máxima entre el eje de pivote de enganche y un punto cualquiera de parte delantera del semirremolque, horizontalmente', '2,04', 'Trenes de carretera (1) y (2)', '18,75', 'La distancia máxima, medida en paralelo al eje longitudinal del tren de carretera, entre los puntos exteriores situados más delante de la zona de carga detrás de la cabina y más atrás del remolque del conjunto de vehículos, menos la distancia entre la parte trasera del vehículo motor y la parte delantera del remolque', '15,65', 'Distancia máxima, media en paralelo al eje longitudinal del tren de carretera, entre los puntos exteriores situados más delante de la zona de carga detrás de la cabina y más atrás del remolque del conjunto de vehículos', '16,40', 'Autobuses articulados', '18,75', 'Autobuses rígidos de 2 ejes', '13,50', 'Autobuses rígidos de más de 2 ejes', '15,00', 'Autobuses con remolque, incluido este', '18,75', 'En el caso de autobuses equipados con accesorios desmontables, como los porta esquís, la longitud del vehículo, accesorios incluidos', 'No sobrepasará las máximas previstas en este apartado.', '(1) Los vehículos o conjuntos de vehículos que transporten contenedores o cajas móviles de 45 pies de longitud, con o sin carga, en una operación de transporte intermodal podrán rebasar en 15 cm la longitud o distancia máxima que les corresponda.', '(2) La longitud de los trenes de carretera especializados en el transporte de vehículos, circulando con carga, puede aumentarse hasta un total de 20,55 metros utilizando un voladizo o soporte de carga trasero autorizado para ello. El voladizo o soporte de carga trasero no podrá sobresalir en relación a la carga. La carga podrá sobresalir por detrás, sin exceder el total autorizado, siempre que el último eje del vehículo que se transporta descanse en la estructura del remolque. La carga no podrá sobresalir por delante del vehículo de tracción.', 'Esquema Longitud- Vehículos rígidos, Tren de carreteras, Vehículos articulados, Trenes de carretera de transporte de vehículos', 'Esquema Longitud- Autobuses y autocares, Autobuses y autocares Articulados', 'Protección de datos', 'Política de privacidad de la Dirección General de Transporte Terrestre']",,
Vehículo a motor de dos ejes,,"['Inicio', 'Transporte Terrestre', 'Marco de referencia del sector', 'Inspección y seguridad en el transporte', 'Pesos y dimensiones', 'Vehículo a motor de dos ejes', 'Tabla de datos', 'Vehículo de motor de 2 ejes, excepto autobuses (1)', '18 Tm', 'Autobuses de dos ejes de la clase I (urbano), según la clasificación de la Directiva 2001/85/CE, de 20 de noviembre', '20 Tm', 'Autobuses de 2 ejes de las clases II y III (interurbano y largo recorrido), según la clasificación de la Directiva 2001/85/CE, de 20 de noviembre', '19,5 Tm', '(1) Los vehículos de combustible alternativo podrán incrementar su masa máxima autorizada en el peso adicional requerido por la tecnología de combustible alternativo hasta un máximo de 1 tonelada. En el caso de vehículos destinados a servicios en entornos urbanos se podrá superar en más de 1 tonelada siempre que no se supere la masa máxima técnicamente admisible del vehículo y la masa por eje máximas permitidas.', 'Protección de datos', 'Política de privacidad de la Dirección General de Transporte Terrestre']",,
