Title,Date,Text,Text_diff_new,Text_diff_old
1_sw,2021:662,"['1 §', 'Denna förordning innehåller bestämmelser för trafik på väg och i terräng.']",,
2_sw,2021:662,['Bestämmelser om förbud mot körning i terräng i vissa fall finns i terrängkörningslagen (1975:1313) och terrängkörningsförordningen (1978:594).'],,
3_sw,2021:662,['I militärtrafikförordningen (2009:212) och vägtrafikförordningen (1995:137) för den kommunala organisationen för räddningstjänst under utbildning och höjd beredskap finns bestämmelser om undantag från denna förordning.'],,
4_sw,2021:662,"['Bestämmelser om spårvägstrafik finns i förordningen\r(1990:1165) om säkerhet vid tunnelbana och spårväg.', 'Förordning (2009:217).']",,
5_sw,2021:662,"['2 §', 'Inom inhägnat järnvägs- eller industriområde, inhägnat tävlingsområde eller annat liknande inhägnat område gäller inte följande bestämmelser:']",,
6_sw,2021:662,"['2 kap. 1 § tredje stycket, 2 kap. 2, 9 och 10 §§, 3 kap. 2-4, 11, 13 och 14 §§, 3 kap. 15 § första stycket 1-8 och 15, 3 kap. 16, 18, 30, 31, 33 och 35 §§, 3 kap. 47 § första stycket 1, 3 kap. 49-52 §§, 3 kap. 55 § första stycket 2 och 4, 3 kap. 57, 58 och 64-83 §§, 4 kap. 2-7, 9, 19 och 21 §§, 6 kap. 1-4 och 5 §§, samt 7 kap. 1 och 5 §§.']",,
7_sw,2021:662,['I terräng gäller inte heller bestämmelserna om färdhastighet i 3 kap. 17 § inom sådana inhägnade områden som avses i första stycket. Förordning (2004:296).'],,
8_sw,2021:662,"['3 §', 'Om staten är väghållare enligt väglagen (1971:948) avsesmed myndighet som har hand om väg- eller gatuhållningen denstatliga väghållningsmyndigheten.']",,
9_sw,2021:662,['I övrigt har de beteckningar som används i denna förordningsamma betydelse som i lagen (2001:559) omvägtrafikdefinitioner och i förordningen (2001:651) omvägtrafikdefinitioner. Förordning (2017:921).'],,
10_sw,2021:662,"['4 §', 'Bestämmelserna om trafik med fordon gäller i tillämpliga delar även den som rider och den som leder eller driver kreatur.']",,
