Title,Date,Text,Text_diff_new,Text_diff_old
0sw,2017:360,"['1 §', 'De beteckningar som finns i 2 § med den betydelse som där anges är avsedda att användas i andra författningar i den utsträckning som föreskrivs i dessa.']",,
1sw,2017:360,['Det som i denna lag eller i någon författning som avses i första stycket sägs i fråga om ett visst slag av fordon tillämpas även på chassiet till ett sådant fordon. Detta gäller dock inte i fall då något annat särskilt föreskrivs.'],,
2sw,2017:360,['2 §'],,
3sw,2017:360,['BeteckningBetydelse'],,
4sw,2017:360,['Axeltryck Den sammanlagda statiska vikt som hjulen på en'],,
5sw,2017:360,['hjulaxel för över till vägbanan.'],,
6sw,2017:360,['Bil Ett motorfordon som är försett med tre eller flera'],,
7sw,2017:360,['hjul eller medar eller med band och som inte är att'],,
8sw,2017:360,['anse som en motorcykel eller en moped. Bilar delas'],,
9sw,2017:360,"['in i personbilar, lastbilar och bussar.']",,
10sw,2017:360,['Boggi Två hjulaxlar på ett fordon med ett inbördes avstånd'],,
11sw,2017:360,['som är mindre än 2 meter.'],,
12sw,2017:360,['BoggitryckDen sammanlagda statiska vikt som hjulen i en boggi'],,
13sw,2017:360,['för över till vägbanan.'],,
14sw,2017:360,"['Bruttovikt på fordonDen sammanlagda statiska vikt som samtliga hjul, band']",,
15sw,2017:360,['eller medar på ett fordon vid ett visst tillfälle för'],,
16sw,2017:360,['över till vägbanan.'],,
17sw,2017:360,['BussEn bil som är inrättad huvudsakligen för'],,
18sw,2017:360,['personbefordran och är försedd med fler'],,
19sw,2017:360,['än åtta sittplatser utöver förarplatsen.'],,
20sw,2017:360,['Bussar delas in i lätta och tunga bussar.'],,
21sw,2017:360,"['BärighetsklassIndelning av vägar efter tillåtet axel-,']",,
22sw,2017:360,['boggi- och trippelaxeltryck samt tillåten'],,
23sw,2017:360,['bruttovikt. Bärighetsklasserna är'],,
24sw,2017:360,"['bärighetsklass 1 (BK1), bärighetsklass 2']",,
25sw,2017:360,"['(BK2), bärighetsklass 3 (BK3) och']",,
26sw,2017:360,['bärighetsklass 4 (BK4).'],,
27sw,2017:360,['Cykel 1. Ett fordon som är avsett att drivas'],,
28sw,2017:360,['med tramp- eller vevanordning och inte'],,
29sw,2017:360,['är ett lekfordon.'],,
30sw,2017:360,['2. Ett eldrivet fordon med en tramp-'],,
31sw,2017:360,['eller vevanordning om elmotorn'],,
32sw,2017:360,['a. endast förstärker kraften från tramp-'],,
33sw,2017:360,"['eller vevanordningen,']",,
34sw,2017:360,['b. inte ger något krafttillskott vid'],,
35sw,2017:360,"['hastigheter över 25 kilometer i timmen,']",,
36sw,2017:360,['och'],,
37sw,2017:360,['c. har en kontinuerlig märkeffekt som'],,
38sw,2017:360,['inte överstiger 250 watt.'],,
39sw,2017:360,['3. Ett eldrivet fordon utan tramp-'],,
40sw,2017:360,['eller vevanordning som är avsett för'],,
41sw,2017:360,['användning av personer med fysisk'],,
42sw,2017:360,"['funktionsnedsättning, och är']",,
43sw,2017:360,['a. inrättat huvudsakligen för befordran'],,
44sw,2017:360,"['av en person,']",,
45sw,2017:360,"['b. inrättat för att föras av den åkande,']",,
46sw,2017:360,['och'],,
47sw,2017:360,['c. konstruerat för en hastighet av'],,
48sw,2017:360,['högst 20 kilometer i timmen.'],,
49sw,2017:360,['4. Ett eldrivet fordon utan tramp-'],,
50sw,2017:360,['eller vevanordning som uppfyller'],,
51sw,2017:360,['villkoren i 3 a-c och som antingen'],,
52sw,2017:360,['a. har en elmotor vars kontinuerliga'],,
53sw,2017:360,"['märkeffekt inte överstiger 250 watt,']",,
54sw,2017:360,['eller'],,
55sw,2017:360,['b. är självbalanserande.'],,
56sw,2017:360,['CykelkärraEtt fordon som är avsett att dras av en moped'],,
57sw,2017:360,['klass II eller en cykel och inte är en sidvagn. En'],,
58sw,2017:360,['tillkopplad cykelkärra anses inte som ett särskilt'],,
59sw,2017:360,['fordon.'],,
60sw,2017:360,['Dolly En släpkärra som är avsedd att vara styraxel för en'],,
61sw,2017:360,['påhängsvagn och som är utrustad med en'],,
62sw,2017:360,['kopplingsanordning (vändskiva) för en påhängsvagn.'],,
63sw,2017:360,"['Efterfordon Ett fordon som är kopplat till en bil, en']",,
64sw,2017:360,"['traktor, ett motorredskap eller ett']",,
65sw,2017:360,['terrängmotorfordon och som inte är ett'],,
66sw,2017:360,['släpfordon.'],,
67sw,2017:360,['EG-mobilkranEn tung lastbil som inte är utrustad för'],,
68sw,2017:360,['godstransporter och som är försedd med en kran vars'],,
69sw,2017:360,['lyftmoment är minst 400 kilonewtonmeter.'],,
70sw,2017:360,"['FordonEn anordning på hjul, band, medar eller liknande']",,
71sw,2017:360,['som är inrättad huvudsakligen för färd på marken'],,
72sw,2017:360,['och inte löper på skenor. Fordon delas in i'],,
73sw,2017:360,"['motordrivna fordon, släpfordon, efterfordon,']",,
74sw,2017:360,"['sidvagnar, cyklar, hästfordon och övriga fordon.']",,
75sw,2017:360,['FordonstågEtt motordrivet fordon med ett eller flera'],,
76sw,2017:360,['tillkopplade fordon.'],,
77sw,2017:360,['HästfordonEtt fordon som är förspänt med dragare.'],,
78sw,2017:360,['Lastbil 1. En bil som är inrättad huvudsakligen för'],,
79sw,2017:360,['godsbefordran.'],,
80sw,2017:360,['2. En annan bil som inte är att anse som en'],,
81sw,2017:360,['personbil eller en buss.'],,
82sw,2017:360,['Lastbilar delas in i lätta och tunga lastbilar.'],,
83sw,2017:360,['Lekfordon Ett fordon som ska anses som leksak enligt'],,
84sw,2017:360,['lagen (2011:579) om leksakers säkerhet.'],,
85sw,2017:360,"['Lätt buss En buss med en totalvikt av högst 3,5 ton.']",,
86sw,2017:360,"['Lätt lastbilEn lastbil med en totalvikt av högst 3,5 ton.']",,
87sw,2017:360,['Lätt motorcykel 1. En motorcykel på två eller fyra hjul'],,
88sw,2017:360,['a) som drivs av förbränningsmotor med en'],,
89sw,2017:360,"['slagvolym om högst 125 kubikcentimeter,']",,
90sw,2017:360,['en nettoeffekt av högst 11 kilowatt och'],,
91sw,2017:360,['ett förhållande mellan nettoeffekt och'],,
92sw,2017:360,"['tjänstevikt som inte överstiger 0,1']",,
93sw,2017:360,"['kilowatt/kilogram,']",,
94sw,2017:360,['b) med annan motor än förbränningsmotor'],,
95sw,2017:360,['som har en nettoeffekt av högst 11'],,
96sw,2017:360,['kilowatt och ett förhållande mellan'],,
97sw,2017:360,['nettoeffekt och tjänstevikt som inte'],,
98sw,2017:360,"['överstiger 0,1 kilowatt/kilogram.']",,
99sw,2017:360,['2. En motorcykel på tre hjul med en'],,
100sw,2017:360,['nettoeffekt av högst 15 kilowatt.'],,
101sw,2017:360,['Lätt släpfordon 1. Ett släpfordon med en totalvikt av'],,
102sw,2017:360,['högst 750 kilogram.'],,
103sw,2017:360,['2. Ett släpfordon med en totalvikt'],,
104sw,2017:360,['över 750 kilogram under förutsättning'],,
105sw,2017:360,['att dragfordonets och släpfordonets'],,
106sw,2017:360,['sammanlagda totalvikt inte överstiger'],,
107sw,2017:360,"['3,5 ton.']",,
108sw,2017:360,['Lätt terrängvagnEn terrängvagn vars tjänstevikt är högst 2 ton.'],,
109sw,2017:360,['Maximilast för ettSkillnaden mellan fordonets totalvikt och tjänstevikt.'],,
111sw,2017:360,['Moped Ett motorfordon som är konstruerat för'],,
112sw,2017:360,['en hastighet av högst 45 kilometer i'],,
113sw,2017:360,"['timmen som, om det drivs av en']",,
114sw,2017:360,"['förbränningsmotor med gnisttändning,']",,
115sw,2017:360,['har en slagvolym av högst 50'],,
116sw,2017:360,"['kubikcentimeter, eller, om det drivs av']",,
117sw,2017:360,['en förbränningsmotor med'],,
118sw,2017:360,"['kompressionständning, har en slagvolym']",,
119sw,2017:360,"['av högst 500 kubikcentimeter, eller är']",,
120sw,2017:360,['försett med annan motor för'],,
121sw,2017:360,['framdrivande och som har'],,
122sw,2017:360,['1. två hjul samt en nettoeffekt som'],,
123sw,2017:360,"['inte överstiger 4 kilowatt,']",,
124sw,2017:360,['2. tre hjul och en vikt i körklart'],,
125sw,2017:360,['skick av högst 270 kilogram samt en'],,
126sw,2017:360,['nettoeffekt som inte överstiger 4'],,
127sw,2017:360,"['kilowatt, eller']",,
128sw,2017:360,['3. fyra hjul och en vikt i körklart'],,
129sw,2017:360,['skick av högst 425 kilogram samt'],,
130sw,2017:360,['en nettoeffekt som inte överstiger 4'],,
131sw,2017:360,"['kilowatt, eller']",,
132sw,2017:360,"['4. fyra hjul, ett karosseri med högst']",,
133sw,2017:360,['tre dörrar och en vikt i körklart skick'],,
134sw,2017:360,['av högst 425 kilogram samt en'],,
135sw,2017:360,['nettoeffekt som inte överstiger 6'],,
136sw,2017:360,['kilowatt.'],,
137sw,2017:360,['Vid beräkningen av en mopeds vikt ska i'],,
138sw,2017:360,['fråga om ett eldrivet fordon'],,
139sw,2017:360,['batterierna inte räknas in.'],,
140sw,2017:360,['Mopeder delas in i klass I och klass II.'],,
141sw,2017:360,['Moped klass I En moped som inte hör till klass II.'],,
142sw,2017:360,['Moped klass IIEn moped som har en motor vars'],,
143sw,2017:360,['nettoeffekt inte överstiger 1 kilowatt'],,
144sw,2017:360,['och'],,
145sw,2017:360,['1. är konstruerad för en hastighet av'],,
146sw,2017:360,"['högst 25 kilometer i timmen, eller']",,
147sw,2017:360,['2. är konstruerad för att drivas med en'],,
148sw,2017:360,['tramp- och vevanordning och där motorn'],,
149sw,2017:360,['inte ger något krafttillskott vid'],,
150sw,2017:360,['hastigheter över 25 kilometer i timmen.'],,
151sw,2017:360,"['MotorcykelEtt motorfordon vars nettoeffekt,']",,
152sw,2017:360,['konstruktiva hastighet eller'],,
153sw,2017:360,['motorstorlek överstiger villkoren för'],,
154sw,2017:360,['moped och som har'],,
155sw,2017:360,"['1. två hjul, eller']",,
156sw,2017:360,['2. tre symmetriskt placerade hjul och'],,
157sw,2017:360,['en vikt i körklart skick av högst 1 000'],,
158sw,2017:360,"['kilogram, eller']",,
159sw,2017:360,['3. fyra hjul och en vikt i körklart'],,
160sw,2017:360,['skick av högst 450 kilogram eller högst'],,
161sw,2017:360,['600 kilogram om fordonet är inrättat'],,
162sw,2017:360,"['för godsbefordran, samt en nettoeffekt']",,
163sw,2017:360,['som inte överstiger 15 kilowatt.'],,
164sw,2017:360,['Vid beräkningen av en motorcykels vikt'],,
165sw,2017:360,['ska i fråga om ett eldrivet fordon'],,
166sw,2017:360,['batterierna inte räknas in.'],,
167sw,2017:360,['Motorcyklar delas in i lätta och tunga'],,
168sw,2017:360,['motorcyklar.'],,
169sw,2017:360,['Motordrivet fordonEtt fordon som för framdrivande är försett med'],,
