Title,Date,Text,Text_diff_new,Text_diff_old
Art. 1_ _Begriffe_ ,01.04.2022,"['(Art. 1 SVG)', 'Strassen sind die von Motorfahrzeugen, motorlosen Fahrzeugen oder Fussgängern benützten Verkehrsflächen.', 'Öffentlich sind Strassen, die nicht ausschliesslich privatem Gebrauch dienen.', 'Autobahnen und Autostrassen sind die dem Motorfahrzeugverkehr vorbehaltenen und entsprechend signalisierten Strassen (Art. 45 Abs. 1 der V vom 5. Sept. 1979', 'über die Strassensignalisation, SSV)', 'Autobahnen weisen eine getrennte Fahrbahn für jede der beiden Richtun\xadgen auf und sind frei von höhengleichen Kreuzungen.', 'Fahrbahn ist der dem Fahrverkehr dienende Teil der Strasse.', 'Fahrstreifen sind markierte Teile der Fahrbahn, die für die Fort\xadbe\xadwe\xadgung einer Fahrzeugkolonne Raum bieten (Art. 74 SSV).', 'Radwege sind die für Radfahrer bestimmten, von der Fahrbahn durch bauliche Massnahmen getrennten und entsprechend signalisierten Wege (Art. 33 Abs. 1 SSV).', 'Radstreifen sind die für Radfahrer bestimmten Fahrstreifen, die nor\xadmalerweise durch gelbe unterbrochene oder ausnahmsweise durch un\xadunterbrochene Linien gekennzeichnet sind (Art. 74 Abs. 5 SSV', ').', '10', 'Verzweigungen sind Kreuzungen, Gabelungen oder Einmündungen von Fahrbah\xadnen. Das Zusammentreffen von Rad- oder Feldwegen, von Garage‑, Parkplatz‑, Fabrik- oder Hof\xadausfahrten usw. mit der Fahr\xadbahn gilt nicht als Verzweigung.', 'Verkehrsregelung* ist das Anhalten und Freigeben des Verkehrs durch Polizei oder Lichtsignale.', '10', 'Fahrzeugähnliche Geräte sind Rollschuhe, Inline-Skates, Trottinette oder ähnliche mit Rädern oder Rollen ausgestattete Fortbewegungsmittel, welche ausschliesslich durch die Körperkraft des Benützers angetrieben werden. Kinderräder sind den fahrzeugähnlichen Geräten gleichgestellt.', '11', 'Vgl. z.B. die Art. 6 Abs. 1 und 2, 47 Abs. 2.', 'Gemäss Ziff. I der V vom 15. Mai 2002, in Kraft seit 1. Aug. 2002 (', 'AS', '2002', '1931', ') wur\xadden im ganzen Erlass die Randtitel in Sachüberschriften umgewandelt.', 'SR', '741.21', 'Heute: Signalisationsverordnung', 'Fassung gemäss Ziff. I der V vom 25. Jan. 1989, in Kraft seit 1. Mai 1989 (', 'AS', '1989', '410', ').', 'Fassung gemäss Ziff. I der V vom 25. Jan. 1989, in Kraft seit 1. Mai 1989 (', 'AS', '1989', '410', ').', 'Fassung gemäss Ziff. I der V vom 25. Jan. 1989, in Kraft seit 1. Mai 1989 (', 'AS', '1989', '410', ').', 'Heute: Art. 74', 'Abs. 1 SSV.', '10', 'Fassung gemäss Ziff. I der V vom 25. Jan. 1989, in Kraft seit 1. Mai 1989 (', 'AS', '1989', '410', ').', '11', 'Eingefügt durch Ziff. I der V vom 15. Mai 2002 (', 'AS', '2002', '1931', '). Fassung gemäss Ziff. I der V vom 20. Mai 2020, in Kraft seit 1. Jan. 2021 (', 'AS', '2020', '2139', ').']",,
Art. 1_a_ Ziffern bei Bezeichnungen von Signalen und Markierungen ,01.04.2022,"['Die Ziffern in Klammern nach Bezeichnungen von Signalen und Markierungen beziehen sich auf die Abbildungen in Anhang 2 SSV', '13', '12', 'Eingefügt durch Ziff. I der V vom 20. Mai 2020, in Kraft seit 1. Jan. 2021(', 'AS', '2020', '2139', ').', '13', 'SR', '741.21']",,
Art. 2_ _Zustand des Führers ,01.04.2022,"['(Art. 31 Abs. 2 und 55 Abs. 7 Bst. a SVG)', '15', 'Wer wegen Übermüdung, Einwirkung von Alkohol, Arznei- oder Betäubungsmit\xadteln oder aus einem anderen Grund nicht fahrfähig ist, darf kein Fahrzeug führen.', '16', 'Fahrunfähigkeit gilt als erwiesen, wenn im Blut des Fahrzeuglenkers nachgewiesen wird:', '2bis', 'Das Bundesamt für Strassen (ASTRA) erlässt nach Rücksprache mit Fachexper\xadten Weisungen über den Nachweis der Substanzen nach Absatz 2.', '18', '2ter', 'Für Personen, die nachweisen können, dass sie eine oder mehrere der in Absatz\xa02 aufgeführten Substanzen gemäss ärztlicher Verschreibung einnehmen, gilt Fahr\xadunfähigkeit nicht bereits beim Nachweis einer Substanz nach Absatz 2 als erwie\xadsen.', '19', 'Niemand darf ein Fahrzeug einem Führer überlassen, der nicht fahr\xadfähig ist.', '...', '20', '...', '21', '14', 'Fassung gemäss Ziff. I der V vom 14. Nov. 1979, in Kraft seit 1. Jan. 1980(', 'AS', '1979', '1583', ').', '15', 'Fassung gemäss Ziff. I der V vom 29. Nov. 2013, in Kraft seit 1. Jan. 2014(', 'AS', '2013', '4687', ').', '16', 'Fassung gemäss Ziff. I der V vom 28. März 2007, in Kraft seit 1. Juli 2007(', 'AS', '2007', '2101', ').', '17', 'Fassung gemäss Ziff. I der V vom 28. April 2004, in Kraft seit 1. Jan. 2005(', 'AS', '2004', '2851', ').', '18', 'Eingefügt durch Ziff. I der V vom 28. April 2004, in Kraft seit 1. Jan. 2005(', 'AS', '2004', '2851', ').', '19', 'Eingefügt durch Ziff. I der V vom 28. April 2004, in Kraft seit 1. Jan. 2005(', 'AS', '2004', '2851', ').', '20', 'Aufgehoben durch Ziff. I der V vom 29. Nov. 2013, mit Wirkung seit 1. Jan. 2014(', 'AS', '2013', '4687', ').', '21', 'Eingefügt durch Ziff. I 2 der V vom 4. Nov. 2009 (erste Phase der Bahnreform 2)(', 'AS', '2009', '5959', '). Aufgehoben durch Ziff. I der V vom 29. Nov. 2013, mit Wirkung seit1. Jan. 2014 (', 'AS', '2013', '4687', ').']",,
Art. 2_a_ Verbot des Fahrens unter Alkoholeinfluss ,01.04.2022,"['(Art. 31 Abs. 2', 'bis', 'und 2', 'ter', 'SVG)', 'Das Fahren unter Alkoholeinfluss ist verboten:', '1bis', 'Nicht vom Verbot nach Absatz 1 Buchstabe c erfasst sind:', 'Alkoholeinfluss liegt vor, wenn die Person:', '22', 'Eingefügt durch Ziff. I der V vom 29. Nov. 2013, in Kraft seit 1. Jan. 2014(', 'AS', '2013', '4687', ').', '23', 'Fassung gemäss Ziff. I der V vom 26. Okt. 2016, in Kraft seit 1. Jan. 2017 (', 'AS', '2016', '3837', ').', '24', 'SR', '741.41', '25', 'Eingefügt durch Ziff. I der V vom 26. Okt. 2016, in Kraft seit 1. Jan. 2017 (', 'AS', '2016', '3837', ').', '26', 'Fassung gemäss Ziff. I der V vom 1. Juli 2015, in Kraft seit 1. Okt. 2016 (', 'AS', '2015', '2595', ').']",,
Art. 3_ _Bedienung des Fahrzeugs ,01.04.2022,"['(Art. 31 Abs. 1 SVG)', 'Der Fahrzeugführer muss seine Aufmerksamkeit der Strasse und dem Verkehr zuwenden. Er darf beim Fahren keine Verrichtung vornehmen, welche die Bedie\xadnung des Fahrzeugs erschwert. Er hat ferner dafür zu sorgen, dass seine Aufmerk\xadsamkeit insbesondere durch Tonwiedergabegeräte sowie Kommunikations- und Infor\xadmationssysteme nicht beeinträchtigt wird.', '27', 'Die Führer von Gesellschaftswagen dürfen im dichten Verkehr oder auf schwieri\xadgen Strassen die Fahrgäste nicht über Sehenswürdigkeiten u. dgl. orientieren. Sie dürfen kein Handmikrophon verwenden.', 'Die Führer von Motorfahrzeugen und Fahrrädern dürfen die Lenkvorrichtung nicht loslassen.', '28', '3bis', 'Bei Verwendung eines Einparkassistenzsystems darf der Führer während des Parkierungsmanövers die Lenkvorrichtung loslassen und das Fahrzeug verlassen, sofern das Assistenzsystem dies vorsieht. Er muss das Parkierungsmanöver überwachen und bei Bedarf abbrechen.', '29', 'Der Fahrzeugführer hat den vorgeschriebenen Fahrtschreiber ständig in Betrieb zu halten und richtig zu bedienen. Ist:', '27', 'Fassung gemäss Ziff. I der V vom 17. Aug. 2005, in Kraft seit 1. März 2006(', 'AS', '2005', '4487', ').', '28', 'Fassung gemäss Ziff. I der V vom 20. Mai 2020, in Kraft seit 1. Jan. 2021(', 'AS', '2020', '2139', ').', '29', 'Eingefügt durch Ziff. I der V vom 20. Mai 2020, in Kraft seit 1. Jan. 2021(', 'AS', '2020', '2139', ').', '30', 'Eingefügt durch Art. 36 Ziff. I des BRB vom 27. Aug. 1969 über administrative Ausfüh\xadrungsbestimmungen zum Strassenverkehrsgesetz (', 'AS', '1969', '793', '). Fassung gemäss Ziff. I der V vom 10. Juni 2005, in Kraft seit 1. Okt. 2005 (', 'AS', '2005', '4109', ').']",,
Art. 3_a_ _Tragen von Si­cherheitsgurten ,01.04.2022,"['(Art. 57 Abs. 5 SVG)', 'Bei Fahrzeugen, die mit Sicherheitsgurten ausgerüstet sind, müssen Führer und mitfahrende Personen die vorhandenen Sicherheitsgurten während der Fahrt tragen. Die Fahrzeugführer haben sicherzustellen, dass Kinder unter zwölf Jahren ordnungs\xadgemäss gesichert sind.', '32', 'Von der Gurtentragpflicht in Absatz 1 sind ausgenommen:', 'Mitfahrende Personen in Gesellschaftswagen und Kleinbussen sind auf geeignete Art und Weise auf die Gurtentragpflicht aufmerksam zu machen.', 'Auf Plätzen mit Sicherheitsgurten muss für Kinder unter zwölf Jahren eine geeignete Kinderrückhaltevorrichtung, zum Beispiel ein Kindersitz, verwendet werden, die nach dem UNECE-Reglement Nr.\xa044 oder Nr.\xa0129 gemäss Anhang\xa02 VTS', '36', 'zugelassen ist. Keine Kinderrückhaltevorrichtung muss verwendet werden:', '31', 'Eingefügt durch Ziff. I der V vom 10. März 1975 (', 'AS', '1975', '541', '). Fassung gemäss Ziff. I der V vom 17. Aug. 2005, in Kraft seit 1. März 2006 (', 'AS', '2005', '4487', ').', '32', 'Fassung gemäss Ziff. I der V vom 14. Okt. 2009, in Kraft seit 1. April 2010(', 'AS', '2009', '5701', ').', '33', 'Fassung gemäss Ziff. I der V vom 20. Mai 2020, in Kraft seit 1. Jan. 2021(', 'AS', '2020', '2139', ').', '34', 'Richtlinie 91/671/EWG des Rates vom 16. Dezember 1991 zur Angleichung der Rechtsvorschriften der Mitgliedstaaten über die Gurtanlegepflicht in Kraftfahrzeugen mit einem Gewicht von weniger als 3,', 'Tonnen, ABl. L 373 vom 31.12.1991, S. 26; zuletzt geändert durch Richtlinie 2014/37/EU, ABl. L 59 vom 28.02.2014, S. 32.', '35', 'Eingefügt durch Ziff. I der V vom 16. Nov. 2016, in Kraft seit 15. Jan. 2017(', 'AS', '2016', '5129', ').', '36', 'SR', '741.41', '37', 'Fassung gemäss Ziff. I der V vom 20. Mai 2020, in Kraft seit 1. Jan. 2021(', 'AS', '2020', '2139', ').']",,
Art. 3_b_ _Tragen von Schutzhelmen ,01.04.2022,"['(Art. 57 Abs. 5 SVG)', 'Die Führer und Mitfahrer von Motorrädern mit oder ohne Seitenwagen, von Leicht‑, Klein- und dreirädrigen Motorfahrzeugen sowie die Führer von Motorfahrrädern müssen während der Fahrt Schutzhelme tragen. Die Fahrzeugführer haben sicherzustellen, dass mitfahrende Kinder unter zwölf Jahren einen Schutzhelm tragen.', 'Von der Helmtragpflicht sind ausgenommen:', 'Auf Motorrädern mit oder ohne Seitenwagen, auf Leicht-, Klein- und dreirädrigen Motorfahrzeugen und auf Motorfahrrädern ist ein Schutzhelm zu tragen, der nach dem UNECE-Reglement Nr. 22 in der Fassung nach Anhang 2 VTS geprüft ist. Auf Raupenfahrzeugen genügt ein Helm, der nach der Norm SN EN 1077', '40', 'oder SN EN\xa01078', '41', 'geprüft ist, auf Motorfahrrädern ein Fahrradhelm, der nach der Norm SN EN\xa01078 geprüft ist.', '42', '38', 'Eingefügt durch Ziff. I der V vom 20. Mai 1981 (', 'AS', '1981', '507', '). Fassung gemäss Ziff. I der V vom 24. Juni 2015, in Kraft seit 1. Jan. 2016 (', 'AS', '2015', '2451', ').', '39', 'SR', '741.41', '40', 'SN EN 1077,', '2007', ', Helme für alpine Skiläufer und für Snowboarder. Diese Norm kann gegen Bezahlung bezogen werden bei der Schweizerischen Normen-Vereinigung (SNV), Sulzerallee 70,', '8404', 'Winterthur; www.snv.ch.', '41', 'SN EN 1078,', '2013', ', Helme für Radfahrer und für Benutzer von Skateboards und Rollschuhen. Diese Norm kann gegen Bezahlung bezogen werden bei der Schweizerischen Normen-Vereinigung (SNV), Sulzerallee 70,', '8404', 'Winterthur; www.snv.ch.', '42', 'Fassung gemäss Ziff. I der V vom 21. Nov. 2018, in Kraft seit 1. Febr. 2019(', 'AS', '2019', '243', ').']",,
Art. 4_ Angemessene Geschwindigkeit ,01.04.2022,"['(Art. 32 Abs. 1 SVG)', 'Der Fahrzeugführer darf nur so schnell fahren, dass er innerhalb der überblickbaren Strecke halten kann; wo das Kreuzen schwierig ist, muss er auf halbe Sichtweite halten können.', 'und', '...', '43', '...', '44', 'Der Fahrzeugführer darf ohne zwingende Gründe nicht so langsam fahren, dass er einen gleichmässigen Verkehrsfluss hindert.', '43', 'Aufgehoben durch Ziff. I der V vom 20. Mai 2020, mit Wirkung seit 1. Jan. 2021(', 'AS', '2020', '2139', ').', '44', 'Aufgehoben durch Ziff. I der V vom 24. Juni 2015, mit Wirkung seit 1. Jan. 2016(', 'AS', '2015', '2451', ').']",,
Art. 4_a_ _Allgemeine Höchst­ge­schwindigkeiten; Grundregel ,01.04.2022,"['(Art. 32 Abs. 2 SVG)', 'Die allgemeine Höchstgeschwindigkeit für Fahrzeuge beträgt unter günstigen Strassen‑, Verkehrs- und Sichtverhältnissen:', 'Die allgemeine Höchstgeschwindigkeit von 50 km/h (Abs. 1 Bst.', ') gilt im ganzen dichtbebauten Gebiet der Ortschaft; sie beginnt beim Signal «Höchstgeschwindigkeit 50) generell» (2.30.1) und endet beim Signal «Ende der Höchstgeschwindigkeit 50 generell» (2.53.1). Für Fahrzeugfüh\xadrer, die aus unbedeutenden Nebenstrassen (wie Strassen, die nicht Ort\xadschaften oder Ortsteile direkt verbinden, landwirtschaft\xadli\xadche Erschlies\xadsungsstrassen, Waldwege u. dgl.) in eine Ortschaft ein\xadfahren, gilt sie auch ohne Signalisation, sobald die dichte Überbauung beginnt.', 'Die allgemeine Höchstgeschwindigkeit von 80 km/h (Abs. 1 Bst.', ') gilt ab dem Signal «Ende der Höchstgeschwindigkeit 50 generell» (2.53.1) oder «Ende der Höchstgeschwindigkeit» (2.53), beim Verlas\xadsen einer Autostrasse oder Autobahn ab dem Signal «Ende der Auto\xad\xadstrasse» (4.04) oder dem Signal «Ende der Autobahn» (4.02).', '47', '3bis', 'Die allgemeine Höchstgeschwindigkeit von 100 km/h (Abs. 1 Bst.', ') gilt ab dem Signal «Autostrasse» (4.03) und endet beim Signal «Ende der Autostrasse» (4.04)', '48', 'Die allgemeine Höchstgeschwindigkeit von 120 km/h (Abs. 1 Bst.', ') gilt ab dem Signal «Autobahn» (4.01) und endet beim Signal «Ende der Autobahn» (4.02).', '49', 'Abweichende signalisierte Höchstgeschwindigkeiten gehen den all\xadgemeinen Höchstgeschwindigkeiten (Abs. 1) vor, ebenso niedrigere Höchstgeschwindigkeiten für einzelne Fahrzeugarten nach Artikel 5 und für einzelne Fahrzeuge nach Anord\xadnung der zuständigen Behörde.', '45', 'Eingefügt durch Ziff. I der V vom 22. Dez. 1976 (', 'AS', '1976', '2810', '). Fassung gemäss Ziff. I der V vom 19. Okt. 1983, in Kraft seit 1. Jan. 1984 (', 'AS', '1983', '1651', ').', '46', 'Fassung gemäss Ziff. I der V vom 20. Dez. 1989, in Kraft seit 1. Jan. 1990 (', 'AS', '1990', '66', ').', '47', 'Fassung gemäss Ziff. I der V vom 20. Dez. 1989, in Kraft seit 1. Jan. 1990 (', 'AS', '1990', '66', ').', '48', 'Eingefügt durch Ziff. I der V vom 20. Dez. 1989, in Kraft seit 1. Jan. 1990 (', 'AS', '1990', '66', ').', '49', 'Fassung gemäss Ziff. I der V vom 20. Dez. 1989, in Kraft seit 1. Jan. 1990 (', 'AS', '1990', '66', ').']",,
Art. 5_ _Höchstge­schwindigkeit für einzelne Fahr­zeugarten ,01.04.2022,"['(Art. 32 Abs. 2 SVG)', 'Die Höchstgeschwindigkeit beträgt:', 'Auf Autobahnen und Autostrassen beträgt die Höchstgeschwindig\xadkeit 100\xa0km/h für:', '2bis', '...', '56', 'Die vorstehenden Höchstgeschwindigkeiten dürfen auch nicht über\xadschritten wer\xadden, wo eine höhere Geschwindigkeitsgrenze signalisiert ist.', 'Wenn ein Führer die für die Kategorieeinteilung seines Fahrzeugs massgebende Höchstgeschwindigkeit überschreitet, verletzt er eine Verkehrsregel; dies gilt nicht für die Führer von Motorfahrrädern.', '57', '50', 'Fassung gemäss Ziff. I der V vom 22. Dez. 1976, in Kraft seit 1. Jan. 1977(', 'AS', '1976', '2810', ').', '51', 'Ausdruck gemäss Ziff. I der V vom 21. Nov. 2018, in Kraft seit 1. Febr. 2019(', 'AS', '2019', '243', '). Diese Änd. wurde in den in der AS genannten Bestimmungen vorgenommen.', '52', 'Fassung gemäss Ziff. I der V vom 15. Nov. 2000, in Kraft seit 1. Jan. 2001(', 'AS', '2000', '2883', ').', '53', 'Fassung gemäss Ziff. I der V vom 14. Okt. 2009, in Kraft seit 1. April 2010(', 'AS', '2009', '5701', ').', '54', 'Eingefügt durch Ziff. I der V vom 20. Mai 2020, in Kraft seit 1. Jan. 2021(', 'AS', '2020', '2139', ').', '55', 'Fassung gemäss Ziff. I der V vom 15. Nov. 2000, in Kraft seit 1. Jan. 2001(', 'AS', '2000', '2883', ').', '56', 'Eingefügt durch Anhang 1 Ziff. II 4 der V vom 19. Juni 1995 über die technischenAnforderungen an Strassenfahrzeuge (', 'AS', '1995', '4425', '). Aufgehoben durch Ziff. I der Vvom 15. Nov. 2000, mit Wirkung seit 1. Jan. 2010 (', 'AS', '2000', '2883', ').', '57', 'Fassung gemäss Ziff. I der V vom 2. März 2012, in Kraft seit 1. Juli 2012(', 'AS', '2012', '1821', ').']",,
