Title,Date,Text,Text_diff_new,Text_diff_old
Road works (rule 288),25 March 2022,"['Rule 288', 'When the ‘Road Works Ahead’ sign is displayed, take extra care and look for additional signs providing more specific instructions. Observe all signs – they are there for your safety and the safety of road workers.', 'You', 'MUST NOT', 'exceed any temporary maximum speed limit.', 'Keep a safe distance from the vehicle in front (see Rule 126).', 'Use your mirrors and get into the correct lane for your vehicle in good time and as signs direct.', 'Do not switch lanes to overtake queuing traffic.', 'Take extra care near cyclists and motorcyclists as they are vulnerable to skidding on grit, mud or other debris at road works.', 'Where lanes are restricted due to road works, merge in turn (see Rule 134).', 'Do not drive through an area marked off by traffic cones.', 'Watch out for vehicles entering or leaving the works area. Where vehicles are travelling in the road and are displaying amber warning lights, leave extra space and expect them to slow or turn into a works area.', 'Concentrate on the road ahead, not the road works.', 'Bear in mind that the road ahead may be obstructed by the works or by slow-moving or stationary traffic.', 'Law', 'RTRA', 'sect 16']",,
Additional rules for high-speed roads (rules 289 to 290),25 March 2022,"['Rule 289', 'Take special care on motorways and other high-speed dual carriageways.', 'Lanes may be closed to traffic and a lower speed limit may apply.', 'Works vehicles may be used to close lanes or carriageways for repairs. Where large ‘Keep Left’ or ‘Keep Right’ signs are displayed on the back, you MUST move over and pass the works vehicle on the side indicated and not return to the closed lane until you can see it is safe to do so.', 'Where a vehicle displays the sign ‘CONVOY VEHICLE NO OVERTAKING’, you MUST NOT pass the vehicle. A flashing light arrow or red ‘X’ may also be used to make the works vehicle more visible from a distance and give earlier warning to drivers.', 'Laws', 'RTA', '1988 sect 36', 'TSRGD', 'reg 3', 'and', 'sched 13', 'Rule 290', 'Road works may contain features that require extra care.', 'Narrow lanes.', 'Lanes may be narrower than normal and will be marked by studs or temporary road markings. Keep a safe distance (see', 'Rule 126', ') from the vehicle in front and make sure you can clearly see the edges of the lane ahead.', 'Contraflow systems', '. These mean that you may be travelling in a narrower lane than normal and with no permanent barrier between you and oncoming traffic. At the start and finish of contraflows, you should slow down and increase the distance to the vehicle in front because changes in the camber of the road may affect vehicle stability.', 'Breakdown advice.', 'If your vehicle breaks down in road works, follow Rules 275, 277 and 278 but be aware that areas marked off by cones contain significant hazards. Where available, you should move your vehicle into a signed road works refuge location. Signs indicate where dedicated recovery services are provided.']",,
Level crossings (rules 291 to 299),25 March 2022,"['Rule 291', 'A level crossing is where a road crosses a railway or tramway line. Approach and cross it with care. Never drive onto a crossing until the road is clear on the other side and do not get too close to the car in front. Never stop or park on, or near, a crossing.', 'Rule 292', 'Overhead electric lines.', 'It is dangerous to touch overhead electric lines. You', 'MUST', 'obey the safe height warning road signs and you should not continue forward onto the railway if your vehicle touches any height barrier or bells. The clearance available is usually 5 metres (16 feet 6 inches) but may be lower.', 'Laws', 'RTA', '1988 sect 36', 'TSRGD', 'schedule 2 part 7', 'Rule 293', 'Controlled Crossings.', 'Most crossings have traffic light signals with a steady amber light, twin flashing red stop lights (see', '‘Light signals controlling traffic’', 'and', '‘Traffic signs’', ') and an audible alarm for pedestrians. They may have full, half or no barriers.', 'You', 'MUST', 'always obey the flashing red stop lights.', 'You', 'MUST', 'stop behind the white line across the road.', 'Keep going if you have already crossed the white line when the amber light comes on.', 'Do not reverse onto or over a controlled crossing.', 'You', 'MUST', 'wait if a train goes by and the red lights continue to flash. This means another train will be passing soon.', 'Only cross when the lights go off and barriers open.', 'Never zig-zag around half-barriers, they lower automatically because a train is approaching.', 'At crossings where there are no barriers, a train is approaching when the lights show.', 'Laws', 'RTA', '1988 sect 36', 'TSRGD', 'schedule 14 parts 1 and 4', 'Rule 293: Stop when the traffic lights show', 'Rule 294', 'Railway telephones.', 'If you are driving a large or slow- moving vehicle, a long, low vehicle with a risk of grounding, or herding animals, a train could arrive before you are clear of the crossing. You', 'MUST', 'obey any sign instructing you to use the railway telephone to obtain permission to cross. You', 'MUST', 'also telephone when clear of the crossing if requested to do so.', 'Laws', 'RTA', '1988 sect 36', 'TSRGD', 'schedule 9 parts 7 and 8', 'Rule 295', 'Crossings without traffic lights.', 'Vehicles should stop and wait at the barrier or gate when it begins to close and not cross until the barrier or gate opens.', 'Rule 296', 'User-operated gates or barriers.', 'Some crossings have ‘Stop’ signs and small red and green lights. You', 'MUST NOT', 'cross when the red light is showing, only cross if the green light is on. If crossing with a vehicle, you should', 'open the gates or barriers on both sides of the crossing', 'check that the green light is still on and cross quickly', 'close the gates or barriers when you are clear of the crossing.', 'Laws', 'TWA 1992 sect 55', 'PC(SB)R 1996', 'Rule 297', 'If there are no lights, follow the procedure in', 'Rule 296', '. Stop, look both ways and listen before you cross. If there is a railway telephone, always use it to contact the signal operator to make sure it is safe to cross. Inform the signal operator again when you are clear of the crossing.', 'Rule 298', 'Open crossings.', 'These have no gates, barriers, attendant or traffic lights but will have a ‘Give Way’ sign. You should look both ways, listen and make sure there is no train coming before you cross.', 'Rule 299', 'Incidents and breakdowns.', 'If your vehicle breaks down, or if you have an incident on a crossing you should', 'get everyone out of the vehicle and clear of the crossing immediately', 'use a railway telephone if available to tell the signal operator. Follow the instructions you are given', 'move the vehicle clear of the crossing if there is time before a train arrives. If the alarm sounds, or the amber light comes on, leave the vehicle and get clear of the crossing immediately.']",,
Tramways (rules 300 to 307),25 March 2022,"['Rule 300', 'You', 'MUST NOT', 'enter a road, lane or other route reserved for trams. Take extra care where trams run along the road. You should avoid driving directly on top of the rails and should take care where trams leave the main carriageway to enter the reserved route, to ensure you do not follow them. The width taken up by trams is often shown by tram lanes marked by white lines, yellow dots or by a different type of road surface. Diamond-shaped signs and white light signals give instructions to tram drivers only.', 'Law', 'RTRA', 'sects 5', 'Rule 301', 'Take extra care where the track crosses from one side of the road to the other and where the road narrows and the tracks come close to the kerb. Tram drivers usually have their own traffic signals and may be permitted to move when you are not. Always give way to trams. Do not try to race or overtake them or pass them on the inside, unless they are at tram stops or stopped by tram signals and there is a designated tram lane for you to pass.', 'Rule 302', 'You', 'MUST NOT', 'park your vehicle where it would get in the way of trams or where it would force other drivers to do so. Do not stop on any part of a tram track, except in a designated bay where this has been provided alongside and clear of the track. When doing so, ensure that all parts of your vehicle are outside the delineated tram path. Remember that a tram cannot steer round an obstruction.', 'Law', 'RTRA', 'sects 5', 'Rule 303', 'Tram stops', '. Where the tram stops at a platform, either in the middle or at the side of the road, you', 'MUST', 'follow the route shown by the road signs and markings. At stops without platforms you', 'MUST NOT', 'drive between a tram and the left-hand kerb when a tram has stopped to pick up passengers. If there is no alternative route signed, do not overtake the tram - wait until it moves off.', 'Law', 'RTRA', 'sects 5', 'Rule 304', 'Look out for pedestrians, especially children, running to catch a tram approaching a stop.', 'Rule 305', 'Always give priority to trams, especially when they signal to pull away from stops, unless it would be unsafe to do so. Remember that they may be carrying large numbers of standing passengers who could be injured if the tram had to make an emergency stop. Look out for people getting off a bus or tram and crossing the road.', 'Rule 306', 'All road users, but particularly cyclists and motorcyclists, should take extra care when driving or riding close to or crossing the tracks, especially if the rails are wet. You should take particular care when crossing the rails at shallow angles, on bends and at junctions. It is safest to cross the tracks directly at right angles. Other road users should be aware that cyclists and motorcyclists may need more space to cross the tracks safely.', 'Rule 307', 'Overhead electric lines.', 'Tramway overhead wires are normally 5.8 metres above any carriageway, but can be lower. You should ensure that you have sufficient clearance between the wire and your vehicle (including any load you are carrying) before driving under an overhead wire. Drivers of vehicles with extending cranes, booms, tipping apparatus or other types of variable height equipment should ensure that the equipment is fully lowered. Where overhead wires are set lower than 5.8 metres, these will be indicated by height clearance markings - similar to ‘low bridge’ signs. The height clearances on these plates should be carefully noted and observed. If you are in any doubt as to whether your vehicle will pass safely under the wires, you should always contact the local police or the tramway operator. Never take a chance as this can be extremely hazardous.']",,
Overview (rule 204),25 March 2022,"['Rule 204', 'The road users most at risk from road traffic are pedestrians, in particular children, older adults and disabled people, cyclists, horse riders and motorcyclists. It is particularly important to be aware of children, older adults and disabled people, and learner and inexperienced drivers and riders. In any interaction between road users, those who can cause the greatest harm have the greatest responsibility to reduce the danger or threat they pose to others.']",,
Pedestrians (rules 205 to 210),25 March 2022,"['Rule 205', 'There is a risk of pedestrians, especially children, stepping unexpectedly into the road. You should drive with the safety of children in mind at a speed suitable for the conditions.', 'Rule 206', 'Drive carefully and slowly', 'when', 'in crowded shopping streets, Home Zones and Quiet Lanes (see', 'Rule 218', ') or residential areas', 'driving past bus and tram stops; pedestrians may emerge suddenly into the road', 'passing parked vehicles, especially ice cream vans; children are more interested in ice cream than traffic and may run into the road unexpectedly', 'needing to cross a pavement, cycle lane or cycle track; for example, to reach or leave a driveway or private access. Give way to pedestrians on the pavement and cyclists using a cycle lane or cycle track', 'reversing into a side road; look all around the vehicle and give way to any pedestrians who may be crossing the road', 'turning at road junctions; you should give way to pedestrians who are crossing or waiting to cross the road into which or from which you are turning', 'going through road works or when passing roadside rescue and recovery vehicles, as there may be people working in or at the side of the road', 'the pavement is closed due to street repairs and pedestrians are directed to use the road', 'approaching pedestrians on narrow rural roads without a footway or footpath. Always slow down and be prepared to stop if necessary, giving them plenty of room as you drive past', 'approaching zebra and parallel crossings as you', 'MUST', 'give way to pedestrians and cyclists on the crossing (see', 'Rule 195', 'approaching pedestrians who have started to cross the road ahead of you. They have priority when crossing at a junction or side road so you should give way (see', 'Rule H2', ').', 'Law', 'TSRGD', 'schedule 14 Part 5', 'Rule 206: Watch out for children in busy areas', 'Rule 207', 'Particularly vulnerable pedestrians.', 'These include:', 'children and older pedestrians who may not be able to judge your speed and could step into the road in front of you. At 40 mph (64 km/h) your vehicle will probably kill any pedestrians it hits. At 20 mph (32 km/h) there is only a 1 in 20 chance of the pedestrian being killed. So kill your speed', 'older pedestrians who may need more time to cross the road. Be patient and allow them to cross in their own time. Do not hurry them by revving your engine or edging forward', 'people with disabilities. People with hearing impairments may not be aware of your vehicle approaching. Those with walking difficulties require more time', 'blind or partially sighted people, who may be carrying a white cane using a guide dog. They may not be able to see you approaching', 'deafblind people who may be carrying a white cane with a red band or using a dog with a red and white harness. They may not see or hear instructions or signals.', 'Rule 208', 'Near schools.', 'Drive slowly and be particularly aware of young cyclists and pedestrians. In some places, there may be a flashing amber signal below the ‘School’ warning sign which tells you that there may be children crossing the road ahead. Drive very slowly until you are clear of the area.', 'Rule 209', 'Drive carefully and slowly when passing a stationary bus showing a ‘School Bus’ sign as children may be getting on or off.', 'School bus (displayed in front and rear window of bus or coach)', 'Rule 210', 'You', 'MUST', 'stop when a school crossing patrol shows a ‘Stop for children’ sign (see ‘', 'Signals by authorised persons', '’ and ‘', 'Traffic signs', '’).', 'Law', 'RTRA', 'sect 28']",,
Motorcyclists and cyclists (rules 211 to 213),25 March 2022,"['Rule 211', 'It is often difficult to see motorcyclists and cyclists, especially when they are waiting alongside you, coming up from behind, coming out of or moving off from junctions, at roundabouts, overtaking you or filtering through traffic. Always look out for them before you emerge from a junction; they could be approaching faster than you think.', 'Do not turn at a junction if to do so would cause the cyclist going straight ahead to stop or swerve, just as you would do with a motor vehicle.', 'When turning right across a line of slow-moving or stationary traffic, look out for and give way to cyclists or motorcyclists on the inside of the traffic you are crossing. Be especially careful when moving off, turning, and when changing direction or lane. Be sure to check mirrors and blind spots carefully.', 'Rule 211: Look out for motorcyclists and cyclists at junctions', 'Rule 212', 'Give motorcyclists, cyclists, horse riders, horse drawn vehicles and pedestrians walking in the road (for example, where there is no pavement), at least as much room as you would when overtaking a car(see', 'Rules 162 to 167', '). Drivers should take extra care and give more space when overtaking motorcyclists, cyclists, horse riders, horse drawn vehicles and pedestrians in bad weather (including high winds) and at night. If the rider looks over their shoulder it could mean that they intend to pull out, turn right or change direction. Give them time and space to do so.', 'Rule 213', 'On narrow sections of road, on quiet roads or streets, at road junctions and in slower-moving traffic, cyclists may sometimes ride in the centre of the lane, rather than towards the side of the road. It can be safer for groups of cyclists to ride two abreast in these situations. Allow them to do so for their own safety, to ensure they can see and be seen. Cyclists are also advised to ride at least a door’s width or 1 metre from parked cars for their own safety.', 'On narrow sections of road, horse riders may ride in the centre of the lane. Allow them to do so for their own safety to ensure they can see and be seen.', 'Motorcyclists, cyclists, horse riders and horse drawn vehicles may suddenly need to avoid uneven road surfaces and obstacles such as drain covers or oily, wet or icy patches on the road. Give them plenty of room and pay particular attention to any sudden change of direction they may have to make.']",,
General (rules 253 to 254),25 March 2022,"['Rule 253', 'Prohibited vehicles.', 'Motorways', 'MUST NOT', 'be used by pedestrians, holders of provisional motorcycle licences, riders of motorcycles under 50 cc (4 kW), cyclists, horse riders, certain slow-moving vehicles and those carrying oversized loads (except by special permission), agricultural vehicles, and powered wheelchairs/powered mobility scooters (see', 'Rules 36 to 46', 'inclusive).', 'Provisional car licence holders', 'MUST NOT', 'drive on the motorway unless they are accompanied by a DVSA Approved Driving Instructor (ADI) and are driving a car displaying red L plates (or D plates in Wales) with dual controls.', 'Laws', 'HA', '1980 sects 16', '17', 'sched 4', 'MT(E&W)R', 'regs 3(d)', '11', 'as amended by', 'MT(E&W)(A)R', '2004', 'MT(E&W)(A)R', '2018', 'R(S)A', 'sects 7', 'sched 3', 'RTRA', 'sect 17', 'MT(S)R', 'reg 10', 'as amended by', 'MT(S)(A)R', '2018', 'Rule 254', 'Traffic on motorways usually travels faster than on other roads, so you have less time to react. It is especially important to use your mirrors earlier and look much further ahead than you would on other roads.']",,
Other road users (rules 214 to 218),25 March 2022,"['Rule 214', 'Animals.', 'When passing animals, drive slowly. Give them plenty of room and be ready to stop. Do not scare animals by sounding your horn, revving your engine or accelerating rapidly once you have passed them. Look out for animals being led, driven or ridden on the road and take extra care. Keep your speed down at bends and on narrow country roads. If a road is blocked by a herd of animals, stop and switch off your engine until they have left the road. Watch out for animals on unfenced roads.', 'Rule 215', 'Horse riders and horse-drawn vehicles.', 'Be particularly careful of horse riders and horse-drawn vehicles especially when approaching,overtaking, passing or moving away. Always pass wide and slowly. When you see a horse on a road, you should slow down to a maximum of 10 mph. Be patient, do not sound your horn or rev your engine. When safe to do so, pass wide and slow, allowing at least 2 metres of space.', 'Feral or semi feral ponies found in areas such as the New Forest, Exmoor and Dartmoor require the same consideration as ridden horses when approaching or passing.', 'Horse riders are often children, so take extra care and remember riders may ride in double file when escorting a young or inexperienced horse or rider. Look out for horse riders’ and horse drivers’ signals and heed a request to slow down or stop. Take great care and treat all horses as a potential hazard; they can be unpredictable, despite the efforts of their rider/driver. Remember there are three brains at work when you pass a horse; the rider’s, the driver’s and the horse’s. Do not forget horses are flight animals and can move incredibly quickly if startled.', 'Rule 216', 'Older drivers.', 'Their reactions may be slower than other drivers. Make allowance for this.', 'Rule 217', 'Learners and inexperienced drivers.', 'They may not be so skilful at anticipating and responding to events. Be particularly patient with learner drivers and young drivers. Drivers who have recently passed their test may display a ‘new driver’ plate or sticker (see ‘', 'Safety code for new drivers', '’).', 'Rule 218', 'Home Zones and Quiet Lanes.', 'These are places where people could be using the whole of the road for a range of activities such as children playing or for a community event. You should drive slowly and carefully and be prepared to stop to allow people extra time to make space for you to pass them in safety.']",,
Motorway signals (rules 255 to 258),25 March 2022,"['Rule 255', 'Signs and signals (see ‘', 'Light signals controlling traffic', '’) are used to warn you of hazards ahead. For example, there may be an incident, fog, a spillage or road workers on the carriageway which you may not immediately be able to see.', 'Rule 256', 'A single sign or signal can display advice, restrictions and warnings for all lanes.', 'Lane specific signs and signals can display advice, restrictions and warnings that apply to individual lanes.', 'Rule 257', 'Amber flashing lights.', 'These signals warn of a hazard ahead. You should', 'reduce your speed', 'be prepared for the hazard', 'only increase your speed when you pass a signal that is not flashing, or a sign displaying a national speed limit or the word ‘END’, and you are sure it is safe to do so.', 'Rule 257: Signal warning of a hazard', 'Rule 258', 'Red flashing light', 'signals and a red ‘X’ on a sign identify a closed lane in which people, stopped vehicles or other hazards are present. You', 'MUST', 'follow the instructions on signs in advance of a closed lane to move safely to an open lane', 'MUST NOT', 'drive in a closed lane. A sign will inform you when the lane is no longer closed by displaying a speed limit or the word ‘END’.', 'Rule 258: signals and signs indicating lane closures', 'Rule 258: signals and signs indicating lane closures', 'Be aware that', 'there can be several hazards in a closed lane', 'emergency services and traffic authorities use closed lanes to reach incidents and help people in need', 'where the left lane is closed at an exit slip road, this means that the exit cannot be used.', 'Where', 'red flashing light', 'signals and closure of all lanes are shown on a sign, the road is closed. You', 'MUST NOT', 'go beyond the sign in any lane or use the hard shoulder to avoid the road closure unless directed to do so by a police or traffic officer.', 'Rule 258: signals and signs indicating lane closures', 'Lane and road closures indicated by red flashing lights are enforced by the police.', 'Laws', 'RTA', '1988 sects 35', '36', 'as amended by', 'TMA', 'sect 6', 'TSRGD', 'reg 3', 'and', 'sched 15', 'MT(E&W)R', 'reg 9', 'MT(S)R', 'reg 8']",,
